question,answer
"I am looking for minimum and maximum values for integers in python. For eg., in Java, we have Integer.MIN_VALUE and Integer.MAX_VALUE. Is there something like this in python?","In Python 3, this question doesn't apply. The plain int type is unbounded."
"I am looking for minimum and maximum values for integers in python. For eg., in Java, we have Integer.MIN_VALUE and Integer.MAX_VALUE. Is there something like this in python?","If you just need a number that's bigger than all others, you can use"
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",Spreadsheet version
"What is the purpose of __slots__ in Python — especially with respect to when I would want to use it, and when not?","The special attribute __slots__ allows you to explicitly state which instance attributes you expect your object instances to have, with the expected results:"
"What is the purpose of __slots__ in Python — especially with respect to when I would want to use it, and when not?",Quoting Jacob Hallen:
"Does anyone know how to do convert from a string to a boolean in Python? I found this link. But it doesn't look like a proper way to do it.  I.e. using built-in functionality, etc.","Really, you just compare the string to whatever you expect to accept as representing true, so you can do this:"
"Does anyone know how to do convert from a string to a boolean in Python? I found this link. But it doesn't look like a proper way to do it.  I.e. using built-in functionality, etc.",Use:
I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"It is strange how much beauty varies for different people. I find the list comprehension much clearer than filter+lambda, but use whichever you find easier."
I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"This is a somewhat religious issue in Python. Even though Guido considered removing map, filter and reduce from Python 3, there was enough of a backlash that in the end only reduce was moved from built-ins to functools.reduce."
"I am trying to print an integer in Python 2.6.1 with commas as thousands separators. For example, I want to show the number 1234567 as 1,234,567. How would I go about doing this? I have seen many examples on Google, but I am looking for the simplest practical way.","Per Format Specification Mini-Language,"
"I am trying to print an integer in Python 2.6.1 with commas as thousands separators. For example, I want to show the number 1234567 as 1,234,567. How would I go about doing this? I have seen many examples on Google, but I am looking for the simplest practical way.",I got this to work:
I have a list of dictionaries like this:,"Supposing d is your list of dicts, simply:"
I have a list of dictionaries like this:,"The other answers are correct, but not much has been explained in terms of advantages and limitations of these methods. The aim of this post will be to show examples of these methods under different situations, discuss when to use (and when not to use), and suggest alternatives."
"I notice that a pre-increment/decrement operator can be applied on a variable (like ++count). It compiles, but it does not actually change the value of the variable!","++ is not an operator. It is two + operators. The + operator is the identity operator, which does nothing. (Clarification: the + and - unary operators only work on numbers, but I presume that you wouldn't expect a hypothetical ++ operator to work on strings.)"
"I notice that a pre-increment/decrement operator can be applied on a variable (like ++count). It compiles, but it does not actually change the value of the variable!",Python does not have pre and post increment operators.
Here's my code:,You would want and instead of &&.
Here's my code:,Python uses and and or conditionals.
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",Are you talking about lambda expressions? Like
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","lambda is just a fancy way of saying function. Other than its name, there is nothing obscure, intimidating or cryptic about it. When you read the following line, replace lambda by function in your mind:"
"I work with Series and DataFrames on the terminal a lot. The default __repr__ for a Series returns a reduced sample, with some head and tail values, but the rest missing.","You can also use the option_context, with one or more options:"
"I work with Series and DataFrames on the terminal a lot. The default __repr__ for a Series returns a reduced sample, with some head and tail values, but the rest missing.",No need to hack settings. There is a simple way:
I'm helping a veterinary clinic measuring pressure under a dogs paw. I use Python for my data analysis and now I'm stuck trying to divide the paws into (anatomical) subregions.,"I detected the peaks using a local maximum filter. Here is the result on your first dataset of 4 paws:
"
I'm helping a veterinary clinic measuring pressure under a dogs paw. I use Python for my data analysis and now I'm stuck trying to divide the paws into (anatomical) subregions.,Data file: paw.txt. Source code:
A tweet reads: ,From Ian Bicking's own introduction to pip:
A tweet reads: ,Many of the answers here are out of date for 2015 (although the initially accepted one from Daniel Roseman is not). Here's the current state of things:
"I have the list [0, 1, 2, 3, 4] I'd like to make it into [1, 2, 3, 4]. How do I go about this? ",You can find a short collection of useful list functions here.
"I have the list [0, 1, 2, 3, 4] I'd like to make it into [1, 2, 3, 4]. How do I go about this? ",Slicing:
"In Python, how do I get a function name as a string, without calling the function?","Using __name__ is the preferred method as it applies uniformly. Unlike func_name, it works on built-in functions as well:"
"In Python, how do I get a function name as a string, without calling the function?","To get the current function's or method's name from inside it, consider:"
"Using pip, is it possible to figure out which version of a package is currently installed?","As of pip 1.3, there is a pip show command."
"Using pip, is it possible to figure out which version of a package is currently installed?",I just sent a pull request in pip with the enhancement Hugo Tavares said:
"I know pip is a package manager for python packages. However, I saw the installation on IPython's website use conda to install IPython.",Quoting from the Conda blog:
"I know pip is a package manager for python packages. However, I saw the installation on IPython's website use conda to install IPython.","Disclaimer: This answer describes the state of things as it was a decade ago, at that time pip did not support binary packages. Conda was specifically created to better support building and distributing binary packages, in particular data science libraries with C extensions. For reference, pip only gained widespread support for portable binary packages with wheels (pip 1.4 in 2013) and the manylinux1 specification (pip 8.1 in March 2016). See the more recent answer for more history."
"I am trying to understand the advantages of multiprocessing over threading. I know that multiprocessing gets around the Global Interpreter Lock, but what other advantages are there, and can threading not do the same thing?",Here are some pros/cons I came up with.
"I am trying to understand the advantages of multiprocessing over threading. I know that multiprocessing gets around the Global Interpreter Lock, but what other advantages are there, and can threading not do the same thing?","The threading module uses threads, the multiprocessing module uses processes. The difference is that threads run in the same memory space, while processes have separate memory. This makes it a bit harder to share objects between processes with multiprocessing. Since threads use the same memory, precautions have to be taken or two threads will write to the same memory at the same time. This is what the global interpreter lock is for."
How do I create a GUID in Python that is platform independent? I hear there is a method using ActivePython on Windows but it's Windows only because it uses COM. Is there a method using plain Python?,"The uuid module provides immutable UUID objects (the UUID class) and the functions uuid1(), uuid3(), uuid4(), uuid5() for generating version 1, 3, 4, and 5 UUIDs as specified in RFC 4122."
How do I create a GUID in Python that is platform independent? I hear there is a method using ActivePython on Windows but it's Windows only because it uses COM. Is there a method using plain Python?,"If you're using Python 2.5 or later, the uuid module is already included with the Python standard distribution."
"I'm iterating over a list of tuples in Python, and am attempting to remove them if they meet certain criteria. ",You can use a list comprehension to create a new list containing only the elements you don't want to remove:
"I'm iterating over a list of tuples in Python, and am attempting to remove them if they meet certain criteria. ","The answers suggesting list comprehensions are ALMOST correct -- except that they build a completely new list and then give it the same name the old list as, they do NOT modify the old list in place. That's different from what you'd be doing by selective removal, as in @Lennart's suggestion -- it's faster, but if your list is accessed via multiple references the fact that you're just reseating one of the references and NOT altering the list object itself can lead to subtle, disastrous bugs."
"Given a path such as ""mydir/myfile.txt"", how do I find the file's absolute path relative to the current working directory in Python? E.g. on Windows, I might end up with:",Also works if it is already an absolute path:
"Given a path such as ""mydir/myfile.txt"", how do I find the file's absolute path relative to the current working directory in Python? E.g. on Windows, I might end up with:","You could use the new Python 3.4 library pathlib. (You can also get it for Python 2.6 or 2.7 using pip install pathlib.) The authors wrote: ""The aim of this library is to provide a simple hierarchy of classes to handle filesystem paths and the common operations users do over them."""
Coming from a C# background the naming convention for variables and method names are usually either camelCase or PascalCase:,See Python PEP 8: Function and Variable Names:
Coming from a C# background the naming convention for variables and method names are usually either camelCase or PascalCase:,The Google Python Style Guide has the following convention:
"Today, I came across the dict method get which, given a key in the dictionary, returns the associated value.",It allows you to provide a default value if the key is missing:
"Today, I came across the dict method get which, given a key in the dictionary, returns the associated value.",What is the dict.get() method?
I'm building a Python application and don't want to force my clients to install Python and modules.,"You can use PyInstaller to package Python programs as standalone executables. It works on Windows, Linux, and Mac."
I'm building a Python application and don't want to force my clients to install Python and modules.,"You can use py2exe as already answered and use Cython to convert your key .py files in .pyc, C compiled files, like .dll in Windows and .so on Linux."
How can I write a try/except block that catches all exceptions?,"Apart from a bare except: clause (which as others have said you shouldn't use), you can simply catch Exception:"
How can I write a try/except block that catches all exceptions?,You can but you probably shouldn't:
"I've always laughed to myself when I've looked back at my VB6 days and thought, ""What modern language doesn't allow incrementing with double plus signs?"":","Python doesn't support ++, but you can do:"
"I've always laughed to myself when I've looked back at my VB6 days and thought, ""What modern language doesn't allow incrementing with double plus signs?"":","Simply put, the ++ and -- operators don't exist in Python because they wouldn't be operators, they would have to be statements. All namespace modification in Python is a statement, for simplicity and consistency. That's one of the design decisions. And because integers are immutable, the only way to 'change' a variable is by reassigning it."
I have a dataframe in pandas which I would like to write to a CSV file.,To delimit by a tab you can use the sep argument of to_csv:
I have a dataframe in pandas which I would like to write to a CSV file.,"When you are storing a DataFrame object into a csv file using the to_csv method, you probably wont be needing to store the preceding indices of each row of the DataFrame object."
I am trying to use IPython notebook on MacOS X with Python 2.7.2 and IPython 1.1.0.,I used %matplotlib inline in the first cell of the notebook and it works. I think you should try:
I am trying to use IPython notebook on MacOS X with Python 2.7.2 and IPython 1.1.0.,"If your matplotlib version is above 1.4, it is also possible to use"
I need to set some environment variables in the Python script and I want all the other scripts that are called from Python to see the environment variables' set.,"Environment variables must be strings, so use"
I need to set some environment variables in the Python script and I want all the other scripts that are called from Python to see the environment variables' set.,You may need to consider some further aspects for code robustness;
"In Python, what are the differences between the urllib, urllib2, urllib3 and requests modules? Why are there three? They seem to do the same thing...","I know it's been said already, but I'd highly recommend the requests Python package."
"In Python, what are the differences between the urllib, urllib2, urllib3 and requests modules? Why are there three? They seem to do the same thing...","urllib2 provides some extra functionality, namely the urlopen() function can allow you to specify headers (normally you'd have had to use httplib in the past, which is far more verbose.) More importantly though, urllib2 provides the Request class, which allows for a more declarative approach to doing a request:"
This is the error I get,"It seems mysql_config is missing on your system or the installer could not find it.
Be sure mysql_config is really installed."
This is the error I get,"In Mac OS, I simply ran this in terminal to fix:"
"From what I understand, a cache is an encrypted file of similar files.","When you run a program in Python, the interpreter compiles it to bytecode first (this is an oversimplification) and stores it in the __pycache__ folder. If you look in there you will find a bunch of files sharing the names of the .py files in your project's folder, only their extensions will be either .pyc or .pyo. These are bytecode-compiled and optimized bytecode-compiled versions of your program's files, respectively."
"From what I understand, a cache is an encrypted file of similar files.",__pycache__ is a folder containing Python 3 bytecode compiled and ready to be executed.
How do I convert a hex string to an int in Python? ,"Without the 0x prefix, you need to specify the base explicitly, otherwise there's no way to tell:"
How do I convert a hex string to an int in Python? ,"int(hexstring, 16) does the trick, and works with and without the 0x prefix:"
Trying to pip install a repo's specific branch. Google tells me to,Prepend the url prefix git+ (See VCS Support):
Trying to pip install a repo's specific branch. Google tells me to,"Using pip with git+ to clone a repository can be extremely slow (test with https://github.com/django/django@stable/1.6.x for example, it will take a few minutes). The fastest thing I've found, which works with GitHub and BitBucket, is:"
"
Want to improve this question? Add details and clarify the problem by editing this post.
                ","There's no performance difference, as they compile to the same bytecode:"
"
Want to improve this question? Add details and clarify the problem by editing this post.
                ",Both Google and Python's style guide is the best practice:
Is it possible to terminate a running thread without setting/checking any flags/semaphores/etc.?,"It is generally a bad pattern to kill a thread abruptly, in Python, and in any language. Think of the following cases:"
Is it possible to terminate a running thread without setting/checking any flags/semaphores/etc.?,A multiprocessing.Process can p.terminate()
I have the following code in Python 3:,"TL;DR: As of today (2019), in Python 3.7+ you must turn this feature on using a ""future"" statement, from __future__ import annotations."
I have the following code in Python 3:,"Specifying the type as string is fine, but always grates me a bit that we are basically circumventing the parser. So you better not misspell any one of these literal strings:"
This piece of code in Python runs in  (Note: The timing is done with the time function in BASH in Linux.),"Inside a function, the bytecode is:"
This piece of code in Python runs in  (Note: The timing is done with the time function in BASH in Linux.),You might ask why it is faster to store local variables than globals. This is a CPython implementation detail.
"I want to know how to get size of objects like a string, integer, etc. in Python.",Just use the sys.getsizeof function defined in the sys module.
"I want to know how to get size of objects like a string, integer, etc. in Python.","The answer, ""Just use sys.getsizeof"", is not a complete answer."
I am running Python 2.5.,You could use relative imports (python >= 2.5):
I am running Python 2.5.,"Relative imports (as in from .. import mymodule) only work in a package.
To import 'mymodule' that is in the parent directory of your current module:"
I have installed a python package with python setup.py install.,Note: Avoid using python setup.py install use pip install .
I have installed a python package with python setup.py install.,"For me, the following mostly works:"
I would like to know what are all the possible values for the timezone argument in the Python library pytz. How to do it?,You can list all the available timezones with pytz.all_timezones:
I would like to know what are all the possible values for the timezone argument in the Python library pytz. How to do it?,Don't create your own list - pytz has a built-in set:
"When you just want to do a try-except without handling the exception, how do you do it in Python?",or
"When you just want to do a try-except without handling the exception, how do you do it in Python?",It's generally considered best-practice to only catch the errors you are interested in. In the case of shutil.rmtree it's probably OSError:
I tried to install the Python package dulwich:,Update: Comments point out that the instructions here may be dangerous. Consider using the Visual C++ 2008 Express edition or the purpose-built Microsoft Visual C++ Compiler for Python (details) and NOT using the original answer below. Original error message means the required version of Visual C++ is not installed.
I tried to install the Python package dulwich:,"I found the solution. 
I had the exact same problem, and error, installing 'amara'. I had mingw32 installed, but distutils needed to be configured."
I just installed the Python modules: construct and statlib with setuptools like this:,"I suggest using pip in place of easy_install. With pip, you can list all installed packages and their versions with "
I just installed the Python modules: construct and statlib with setuptools like this:,You can try
The very common directory structure for even a simple Python module seems to be to separate the unit tests into their own test directory:,The best solution in my opinion is to use the unittest command line interface which will add the directory to the sys.path so you don't have to (done in the TestLoader class).
The very common directory structure for even a simple Python module seems to be to separate the unit tests into their own test directory:,"The simplest solution for your users is to provide an executable script (runtests.py or some such) which bootstraps the necessary test environment, including, if needed, adding your root project directory to sys.path temporarily. This doesn't require users to set environment variables, something like this works fine in a bootstrap script:"
"I have a variable, x, and I want to know whether it is pointing to a function or not.","If this is for Python 2.x or for Python 3.2+, you can use callable(). It used to be deprecated, but is now undeprecated, so you can use it again. You can read the discussion here: http://bugs.python.org/issue10518. You can do this with:"
"I have a variable, x, and I want to know whether it is pointing to a function or not.","Builtin types that don't have constructors in the built-in namespace (e.g. functions, generators, methods) are in the types module. You can use types.FunctionType in an isinstance call:"
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",Doesn't too much matter.  Whatever makes you happy will work.  There aren't a lot of silly rules because Python projects can be simple.
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",According to Jean-Paul Calderone's Filesystem structure of a Python project:
Is there a reason to prefer using map() over list comprehension or vice versa?  Is either of them generally more efficient or considered generally more pythonic than the other?,"map may be microscopically faster in some cases (when you're NOT making a lambda for the purpose, but using the same function in map and a listcomp). List comprehensions may be faster in other cases and most (not all) pythonistas consider them more direct and clearer."
Is there a reason to prefer using map() over list comprehension or vice versa?  Is either of them generally more efficient or considered generally more pythonic than the other?,Cases
I want to remove all empty strings from a list of strings in python.,I would use filter:
I want to remove all empty strings from a list of strings in python.,Using a list comprehension is the most Pythonic way:
"Using virtualenv, I run my projects with the default version of Python (2.7). On one project, I need to use Python 3.4. ",simply run
"Using virtualenv, I run my projects with the default version of Python (2.7). On one project, I need to use Python 3.4. ",Python 3 has a built-in support for virtual environments - venv. It might be better to use that instead. Referring to the docs:
Is there a way to widen the display of output in either interactive or script-execution mode?,Update: Pandas 0.23.4 onwards
Is there a way to widen the display of output in either interactive or script-execution mode?,Try this:
__future__ frequently appears in Python modules. I do not understand what __future__ is for and how/when to use it even after reading the Python's __future__ doc. ,"With __future__ module's inclusion, you can slowly be accustomed to incompatible changes or to such ones introducing new keywords."
__future__ frequently appears in Python modules. I do not understand what __future__ is for and how/when to use it even after reading the Python's __future__ doc. ,When you do
"I needed to create a list of lists in Python, so I typed the following:","When you write [x]*3 you get, essentially, the list [x, x, x]. That is, a list with 3 references to the same x. When you then modify this single x it is visible via all three references to it:"
"I needed to create a list of lists in Python, so I typed the following:",Live visualization using Python Tutor:
How do you get the logical xor of two variables in Python?,"If you're already normalizing the inputs to booleans, then != is xor."
How do you get the logical xor of two variables in Python?,You can always use the definition of xor to compute it from other logical operations:
"In Django model QuerySets, I see that there is a __gt and __lt for comparative values, but is there a __ne or != (not equals)? I want to filter out using a not equals. For example, for",You can use Q objects for this. They can be negated with the ~ operator and combined much like normal Python expressions:
"In Django model QuerySets, I see that there is a __gt and __lt for comparative values, but is there a __ne or != (not equals)? I want to filter out using a not equals. For example, for","Your query appears to have a double negative, you want to exclude all rows where x is not 5, so in other words you want to include all rows where x is 5. I believe this will do the trick:"
"In a comment on this answer to another question, someone said that they weren't sure what functools.wraps was doing. So, I'm asking this question so that there will be a record of it on StackOverflow for future reference: what does functools.wraps do, exactly?","When you use a decorator, you're replacing one function with another.  In other words, if you have a decorator"
"In a comment on this answer to another question, someone said that they weren't sure what functools.wraps was doing. So, I'm asking this question so that there will be a record of it on StackOverflow for future reference: what does functools.wraps do, exactly?",As of python 3.5+:
Out of these not None tests.,"is the Pythonic idiom for testing that a variable is not set to None. This idiom has particular uses in the case of declaring keyword functions with default parameters. is tests identity in Python. Because there is one and only one instance of None present in a running Python script/program, is is the optimal test for this. As Johnsyweb points out, this is discussed in PEP 8 under ""Programming Recommendations""."
Out of these not None tests.,"From, Programming Recommendations, PEP 8:"
"I'm trying to convert a server side Ajax response script into a Django HttpResponse, but apparently it's not working.","I usually use a dictionary, not a list to return JSON content. "
"I'm trying to convert a server side Ajax response script into a Django HttpResponse, but apparently it's not working.",New in django 1.7
"From time to time in Python, I see the block:","""I do not know if it is out of ignorance, but I do not like that
  kind of programming, as it is using exceptions to perform flow control."""
"From time to time in Python, I see the block:","A try block allows you to handle an expected error. The except block should only catch exceptions you are prepared to handle. If you handle an unexpected error, your code may do the wrong thing and hide bugs."
"I've been looking at dynamic evaluation of Python code, and come across the eval() and compile() functions, and the exec statement.","Basically, eval is used to evaluate a single dynamically generated Python expression, and exec is used to execute dynamically generated Python code only for its side effects."
"I've been looking at dynamic evaluation of Python code, and come across the eval() and compile() functions, and the exec statement.","exec is not an expression: a statement in Python 2.x, and a function in Python 3.x. It compiles and immediately evaluates a statement or set of statement contained in a string. Example:"
I wrote a Python program that acts on a large input file to create a few million objects representing triangles.  The algorithm is:,"According to Python Official Documentation, you can explicitly invoke the Garbage Collector to release unreferenced memory with gc.collect(). Example:"
I wrote a Python program that acts on a large input file to create a few million objects representing triangles.  The algorithm is:,"Unfortunately (depending on your version and release of Python) some types of objects use ""free lists"" which are a neat local optimization but may cause memory fragmentation, specifically by making more and more memory ""earmarked"" for only objects of a certain type and thereby unavailable to the ""general fund""."
"I am curious as to why df[2] is not supported, while df.ix[2] and df[2:3] both work. ","echoing @HYRY, see the new docs in 0.11"
"I am curious as to why df[2] is not supported, while df.ix[2] and df[2:3] both work. ","When the indexing operator is passed a string or integer, it attempts to find a column with that particular name and return it as a Series."
Is there a way to get all attributes/methods/fields/etc. of an object in Python?,Use the built-in function dir().
Is there a way to get all attributes/methods/fields/etc. of an object in Python?,I use __dict__ and dir(<instance>)
"I've been testing out Selenium with Chromedriver and I noticed that some pages can detect that you're using Selenium even though there's no automation at all. Even when I'm just browsing manually just using Chrome through Selenium and Xephyr I often get a page saying that suspicious activity was detected. I've checked my user agent, and my browser fingerprint, and they are all exactly identical to the normal Chrome browser.","Basically, the way the Selenium detection works, is that they test for predefined JavaScript variables which appear when running with Selenium. The bot detection scripts usually look anything containing word ""selenium"" / ""webdriver"" in any of the variables (on window object), and also document variables called $cdc_ and $wdc_. Of course, all of this depends on which browser you are on. All the different browsers expose different things."
"I've been testing out Selenium with Chromedriver and I noticed that some pages can detect that you're using Selenium even though there's no automation at all. Even when I'm just browsing manually just using Chrome through Selenium and Xephyr I often get a page saying that suspicious activity was detected. I've checked my user agent, and my browser fingerprint, and they are all exactly identical to the normal Chrome browser.",You can use vim or perl to replace the cdc_ string in chromedriver. See answer by @Erti-Chris Eelmaa to learn more about that string and how it's a detection point.
"I want to apply my custom function (it uses an if-else ladder) to these six columns (ERI_Hispanic, ERI_AmerInd_AKNatv, ERI_Asian, ERI_Black_Afr.Amer, ERI_HI_PacIsl, ERI_White) in each row of my dataframe.","OK, two steps to this - first is to write a function that does the translation you want - I've put an example together based on your pseudo-code:"
"I want to apply my custom function (it uses an if-else ladder) to these six columns (ERI_Hispanic, ERI_AmerInd_AKNatv, ERI_Asian, ERI_Black_Afr.Amer, ERI_HI_PacIsl, ERI_White) in each row of my dataframe.","Since this is the first Google result for 'pandas new column from others', here's a simple example:"
I'm deploying a Django app to a dev server and am hitting this error when I run pip install -r requirements.txt:,July 2018 Update 
I'm deploying a Django app to a dev server and am hitting this error when I run pip install -r requirements.txt:,fixed it for me in Debian. Seems like uninstalling some .deb packages (twisted set in my case) has broken the path python uses to find packages 
The function foo below returns a string 'foo'. How can I get the value 'foo' which is returned from the thread's target?,"One way I've seen is to pass a mutable object, such as a list or a dictionary, to the thread's constructor, along with a an index or other identifier of some sort. The thread can then store its results in its dedicated slot in that object.  For example:"
The function foo below returns a string 'foo'. How can I get the value 'foo' which is returned from the thread's target?,"FWIW, the multiprocessing module has a nice interface for this using the Pool class.  And if you want to stick with threads rather than processes, you can just use the multiprocessing.pool.ThreadPool class as a drop-in replacement."
How can I get a list of the values in a dict in Python?,"dict.values returns a view of the dictionary's values, so you have to wrap it in list:"
How can I get a list of the values in a dict in Python?,You can use * operator to unpack dict_values:
"I've seen a lot of questions that ask about pivot tables.  Even if they don't know that they are asking about pivot tables, they usually are.  It is virtually impossible to write a canonical question and answer that encompasses all aspects of pivoting...",We start by answering the first question:
"I've seen a lot of questions that ask about pivot tables.  Even if they don't know that they are asking about pivot tables, they usually are.  It is virtually impossible to write a canonical question and answer that encompasses all aspects of pivoting...",To extend @piRSquared's answer another version of Question 10
I have issue after installing the matplotlib package unable to import matplotlib.pyplot as plt. Any suggestion will be greatly appreciate.  ,Problem Cause
Is it possible to declare more than one variable using a with statement in Python?,It is possible in Python 3 since v3.1 and  Python 2.7. The new with syntax supports multiple context managers:
Is it possible to declare more than one variable using a with statement in Python?,"Note that if you split the variables into lines, prior to Python 3.10 you must use backslashes to wrap the newlines."
I have a pandas DataFrame and I want to delete rows from it where the length of the string in a particular column is greater than 2.,"To directly answer this question's original title ""How to delete rows from a pandas DataFrame based on a conditional expression"" (which I understand is not necessarily the OP's problem but could help other users coming across this question) one way to do this is to use the drop method:"
I have a pandas DataFrame and I want to delete rows from it where the length of the string in a particular column is greater than 2.,"When you do len(df['column name']) you are just getting one number, namely the number of rows in the DataFrame (i.e., the length of the column itself).  If you want to apply len to each element in the column, use df['column name'].map(len).  So try"
"While reading up the documentation for dict.copy(), it says that it makes a shallow copy of the dictionary. Same goes for the book I am following (Beazley's Python Reference), which says: ","By ""shallow copying"" it means the content of the dictionary is not copied by value, but just creating a new reference."
"While reading up the documentation for dict.copy(), it says that it makes a shallow copy of the dictionary. Same goes for the book I am following (Beazley's Python Reference), which says: ",Take this example:
"In Python, when should you use lists and when tuples?","Tuples are fixed size in nature whereas lists are dynamic.
In other words, a tuple is immutable whereas a list is mutable."
"In Python, when should you use lists and when tuples?","There's a strong culture of tuples being for heterogeneous collections, similar to what you'd use structs for in C, and lists being for homogeneous collections, similar to what you'd use arrays for.  But I've never quite squared this with the mutability issue mentioned in the other answers.  Mutability has teeth to it (you actually can't change a tuple), while homogeneity is not enforced, and so seems to be a much less interesting distinction."
I need a way to tell what mode the shell is in from within the shell.,One way is to look at sys.maxsize as documented here:
I need a way to tell what mode the shell is in from within the shell.,When starting the Python interpreter in the terminal/command line you may also see a line like: 
I have a list of strings like this:,Shortest Code
I have a list of strings like this:,"Zip the two lists together, sort it, then take the parts you want:"
I am trying to understand when to use __getattr__ or __getattribute__.  The documentation mentions __getattribute__ applies to new-style classes. What are new-style classes?  ,"A key difference between __getattr__ and __getattribute__ is that __getattr__ is only invoked if the attribute wasn't found the usual ways.  It's good for implementing a fallback for missing attributes, and is probably the one of two you want."
I am trying to understand when to use __getattr__ or __getattribute__.  The documentation mentions __getattribute__ applies to new-style classes. What are new-style classes?  ,Lets see some simple examples of both __getattr__ and __getattribute__ magic methods.
I want to change the key of an entry in a Python dictionary.,Easily done in 2 steps:
I want to change the key of an entry in a Python dictionary.,if you want to change all the keys:
"I would like to know how to check whether a string starts with ""hello"" in Python.",More info about startswith.
"I would like to know how to check whether a string starts with ""hello"" in Python.",RanRag has already answered it for your specific question.
"Whenever I am trying to install any package using pip, I am getting this import error:",You must have inadvertently upgraded your system pip (probably through something like sudo pip install pip --upgrade)
"Whenever I am trying to install any package using pip, I am getting this import error:",We can clear the error by modifying the pip file.
What exactly are the Python scoping rules?,"Actually, a concise rule for Python Scope resolution, from Learning Python, 3rd. Ed.. (These rules are specific to variable names, not attributes. If you reference it without a period, these rules apply.)"
What exactly are the Python scoping rules?,"Essentially, the only thing in Python that introduces a new scope is a function definition.  Classes are a bit of a special case in that anything defined directly in the body is placed in the class's namespace, but they are not directly accessible from within the methods (or nested classes) they contain."
"I have a try...except block in my code and When an exception is throw. I really just want to continue with the code because in that case, everything is still able to run just fine. The problem is if you leave the except: block empty or with a #do nothing, it gives you a syntax error. I can't use continue because its not in a loop. Is there a keyword i can use that tells the code to just keep going?",Python docs for the pass statement
"I have a try...except block in my code and When an exception is throw. I really just want to continue with the code because in that case, everything is still able to run just fine. The problem is if you leave the except: block empty or with a #do nothing, it gives you a syntax error. I can't use continue because its not in a loop. Is there a keyword i can use that tells the code to just keep going?","The standard ""nop"" in Python is the pass statement:"
I have a list of tuples that looks something like this:,Try using the key keyword with sorted().
I have a list of tuples that looks something like this:,"IMO using itemgetter is more readable in this case than the solution by @cheeken. It is
also faster since almost all of the computation will be done on the c side (no pun intended) rather than through the use of lambda.  "
"How would I create a list with values between two values I put in? 
For example, the following list is generated for values from 11 to 16:",Use range. In Python 2.x it returns a list so all you need is:
"How would I create a list with values between two values I put in? 
For example, the following list is generated for values from 11 to 16:",You seem to be looking for range():
