question,answer
Python has an ordered dictionary. What about an ordered set?,"The answer is no, but you can use collections.OrderedDict from the Python standard library with just keys (and values as None) for the same purpose."
Is there a Python equivalent for the case statement such as the examples available in VB.NET or C#?,"In Python 3.10, they introduced the pattern matching."
Is there a Python equivalent for the case statement such as the examples available in VB.NET or C#?,The direct replacement is if/elif/else. 
Is output buffering enabled by default in Python's interpreter for sys.stdout?,From Magnus Lycka answer on a mailing list:
Is output buffering enabled by default in Python's interpreter for sys.stdout?,"I would rather put my answer in How to flush output of print function? or in Python's print function that flushes the buffer when it's called?, but since they were marked as duplicates of this one (what I do not agree), I'll answer it here."
"In Python Pandas, what's the best way to check whether a DataFrame has one (or more) NaN values?","jwilner's response is spot on. I was exploring to see if there's a faster option, since in my experience, summing flat arrays is (strangely) faster than counting. This code seems faster:"
"In Python Pandas, what's the best way to check whether a DataFrame has one (or more) NaN values?",You have a couple of options. 
"I'm trying to map a list into hex, and then use the list elsewhere. In python 2.6, this was easy:",Do this:
"I'm trying to map a list into hex, and then use the list elsewhere. In python 2.6, this was easy:",New and neat in Python 3.5:
I have a list of lists:,A key can be a function that returns a tuple:
I have a list of lists:,"I'm not sure if this is the most pythonic method ...
I had a list of tuples that needed sorting 1st by descending integer values and 2nd alphabetically. This required reversing the integer sort but not the alphabetical sort. Here was my solution: (on the fly in an exam btw, I was not even aware you could 'nest' sorted functions)"
Can you tell me when to use these vectorization methods with basic examples? ,"Straight from Wes McKinney's Python for Data Analysis book, pg. 132 (I highly recommended this book):"
Can you tell me when to use these vectorization methods with basic examples? ,First major difference: DEFINITION
"I'm quite familiar with Django, but I recently noticed there exists an on_delete=models.CASCADE option with the models. I have searched for the documentation for the same, but I couldn't find anything more than:",This is the behaviour to adopt when the referenced object is deleted. It is not specific to Django; this is an SQL standard. Although Django has its own implementation on top of SQL. (1)
"I'm quite familiar with Django, but I recently noticed there exists an on_delete=models.CASCADE option with the models. I have searched for the documentation for the same, but I couldn't find anything more than:",The on_delete method is used to tell Django what to do with model instances that depend on the model instance you delete. (e.g. a ForeignKey relationship). The on_delete=models.CASCADE tells Django to cascade the deleting effect i.e. continue deleting the dependent models as well. 
"It seems that python supports many different commands to stop script execution.The choices I've found are:  quit(), exit(), sys.exit(), os._exit() ",Let me give some information on them:
"It seems that python supports many different commands to stop script execution.The choices I've found are:  quit(), exit(), sys.exit(), os._exit() ","The functions* quit(), exit(), and sys.exit() function in the same way: they raise the SystemExit exception.  So there is no real difference, except that sys.exit() is always available but exit() and quit() are only available if the site module is imported."
What is the difference between abstract class and interface in Python?,What you'll see sometimes is the following:
What is the difference between abstract class and interface in Python?,"An interface, for an object, is a set of methods and attributes on that object."
I've seen some code samples and tutorials that use,"Without the main sentinel, the code would be executed even if the script were imported as a module."
I've seen some code samples and tutorials that use,"Everyone else has already answered it, but I think I still have something else to add."
"I'm not sure if this is Flask specific, but when I run an app in dev mode (http://localhost:5000), I cannot access it from other machines on the network (with http://[dev-host-ip]:5000). With Rails in dev mode, for example, it works fine. I couldn't find any docs regarding the Flask dev server configuration. Any idea what should be configured to enable this?","While this is possible, you should not use the Flask dev server in production. The Flask dev server is not designed to be particularly secure, stable, or efficient. See the docs on deploying for correct solutions."
"I'm not sure if this is Flask specific, but when I run an app in dev mode (http://localhost:5000), I cannot access it from other machines on the network (with http://[dev-host-ip]:5000). With Rails in dev mode, for example, it works fine. I couldn't find any docs regarding the Flask dev server configuration. Any idea what should be configured to enable this?","If you use the flask executable to start your server, use flask run --host=0.0.0.0 to change the default from 127.0.0.1 and open it up to non-local connections."
I'm using the Python bindings to run Selenium WebDriver:,You can read the innerHTML attribute to get the source of the content of the element or outerHTML for the source with the current element.
I'm using the Python bindings to run Selenium WebDriver:,"There is not really a straightforward way of getting the HTML source code of a webelement. You will have to use JavaScript. I am not too sure about python bindings, but you can easily do like this in Java. I am sure there must be something similar to JavascriptExecutor class in Python."
"This code reads thefile.csv, makes changes, and writes results to thefile_subset1.","In Python 2, open outfile with mode 'wb' instead of 'w'.  The csv.writer writes \r\n into the file directly.  If you don't open the file in binary mode, it will write \r\r\n because on Windows text mode will translate each \n into \r\n."
"This code reads thefile.csv, makes changes, and writes results to thefile_subset1.","Opening the file in binary mode ""wb"" will not work in Python 3+.  Or rather, you'd have to convert your data to binary before writing it.  That's just a hassle."
Why does the following behave unexpectedly in Python?,Take a look at this:
Why does the following behave unexpectedly in Python?,In summary - let me emphasize: Do not use is to compare integers.
"In Python, how do I read in a binary file and loop over each byte of that file?",Python 2.4 and Earlier
"In Python, how do I read in a binary file and loop over each byte of that file?","This generator yields bytes from a file, reading the file in chunks:"
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,"You could try the search feature in pip, "
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,pip install pyyaml
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True","df.iloc[i] returns the ith row of df. i does not refer to the index label, i is a 0-based index."
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True",Can be done using numpy where() function:
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.","Basically, Python lists are very flexible and can hold completely heterogeneous, arbitrary data, and they can be appended to very efficiently, in amortized constant time.  If you need to shrink and grow your list time-efficiently and without hassle, they are the way to go.  But they use a lot more space than C arrays, in part because each item in the list requires the construction of an individual Python object, even for data that could be represented with simple C types (e.g. float or uint64_t)."
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.","For almost all cases the normal list is the right choice. The arrays module is more like a thin wrapper over C arrays, which give you kind of strongly typed containers (see docs), with access to more C-like types such as signed/unsigned short or double, which are not part of the built-in types. I'd say use the arrays module only if you really need it, in all other cases stick with lists."
I have this string:,A simple possibility (if you'd rather avoid REs) is
I have this string:,A regular expression can be used to offer more control over the whitespace characters that are combined.
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","You can have a regular Python module, say config.py, like this:"
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","The sample config you provided is actually valid YAML.  In fact, YAML meets all of your demands, is implemented in a large number of languages, and is extremely human friendly.  I would highly recommend you use it.  The PyYAML project provides a nice python module, that implements YAML.  "
"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. ","Well, I decided to workout myself on my question to solve above problem. What I wanted is to implement a simpl OCR using KNearest or SVM features in OpenCV. And below is what I did and how. ( it is just for learning how to use KNearest for simple OCR purposes)."
"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. ","For those who interested in C++ code can refer below code. 
Thanks Abid Rahman for the nice explanation."
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.","The officially recommended way to install packages from a script is by calling pip's command-line interface via a subprocess. Most other answers presented here are not supported by pip. Furthermore since pip v10, all code has been moved to pip._internal precisely in order to make it clear to users that programmatic use of pip is not allowed."
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.",You can also use something like:
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?","If you're just looking to iterate over a flattened version of the data structure and don't need an indexable sequence, consider itertools.chain and company."
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?",You almost have it! The way to do nested list comprehensions is to put the for statements in the same order as they would go in regular nested for statements.
I have a dataframe with over 200 columns. The issue is as they were generated the order is,"This assumes that sorting the column names will give the order you want.  If your column names won't sort lexicographically (e.g., if you want column Q10.3 to appear after Q9.1), you'll need to sort differently, but that has nothing to do with pandas."
I have a dataframe with over 200 columns. The issue is as they were generated the order is,You can also do more succinctly:
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?",An example (listing the methods of the optparse.OptionParser class):
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?","There is the dir(theobject) method to list all the fields and methods of your object (as a tuple) and the inspect module (as codeape write) to list the fields and methods with their doc (in """""")."
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,"Suppose you are designing a new class with some methods that you don't want to implement, yet."
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,"Python has the syntactical requirement that code blocks (after if, except, def, class etc.) cannot be empty. Empty code blocks are however useful in a variety of different contexts, such as in examples below, which are the most frequent use cases I have seen."
How do I get the number of elements in a list in jinja2 template?,You can also use this syntax in expressions like
How do I get the number of elements in a list in jinja2 template?,"Alex' comment looks good but I was still confused with using range.
The following worked for me while working on a for condition using length within range."
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?","The best way of appending a string to a string variable is to use + or +=. This is because it's readable and fast. They are also just as fast, which one you choose is a matter of taste, the latter one is the most common. Here are timings with the timeit module:"
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?","If you are concatenating a lot of values, then neither. Appending a list is expensive. You can use StringIO for that. Especially if you are building it up over a lot of operations."
"In Django doc,","Your understanding is mostly correct. You use select_related when the object that you're going to be selecting is a single object, so OneToOneField or a ForeignKey. You use prefetch_related when you're going to get a ""set"" of things, so ManyToManyFields as you stated or reverse ForeignKeys. Just to clarify what I mean by ""reverse ForeignKeys"" here's an example:"
"In Django doc,","Both methods achieve the same purpose, to forego unnecessary db queries. But they use different approaches for efficiency."
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,"According to the documentation, instead of "
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,You are just supposed to read the file and exec the code yourself. 2to3 current replaces
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,"In the standard library, there is no cross-platform way to create aware timezones without creating your own timezone class. (Edit: Python 3.9 introduces zoneinfo in the standard library which does provide this functionality.)"
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,"Get the current time, in a specific timezone:"
Does Python support short-circuiting in boolean expressions?,"Yep, both and and or operators short-circuit -- see the docs."
Does Python support short-circuiting in boolean expressions?,"Let's first define a useful function to determine if something is executed or not. A simple function that accepts an argument, prints a message and returns the input, unchanged."
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:","I think that the command axis('off') takes care of one of the problems more succinctly than changing each axis and the border separately. It still leaves the white space around the border however. Adding bbox_inches='tight' to the savefig command almost gets you there, you can see in the example below that the white space left is much smaller, but still present."
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:","I learned this trick from matehat, here:"
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.",The usual way to do this is something like the following.
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.",This is possible in Python 2 using
I want to build a query for sunburnt(solr interface) using class inheritance and therefore adding key - value pairs together. The sunburnt interface takes keyword arguments. How can I transform a dict ({'type':'Event'}) into keyword arguments (type='Event')?,Use the double-star (aka double-splat?) operator:
I want to build a query for sunburnt(solr interface) using class inheritance and therefore adding key - value pairs together. The sunburnt interface takes keyword arguments. How can I transform a dict ({'type':'Event'}) into keyword arguments (type='Event')?,** operator would be helpful here. 
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.",With Python 2.7 and higher you don't have to write new code or use third-party tools to do this; recursive test execution via the command line is built-in.  Put an __init__.py in your test directory and:
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.","In python 3, if you're using unittest.TestCase:"
"In a program I'm writing I have Python use the re.search() function to find matches in a block of text and print the results. However, the program exits once it finds the first match in the block of text.",Use re.findall or re.finditer instead.
What are the advantages and disadvantages of each?,"Numpy matrices are strictly 2-dimensional, while numpy arrays (ndarrays) are
N-dimensional.  Matrix objects are a subclass of ndarray, so they inherit all
the attributes and methods of ndarrays."
What are the advantages and disadvantages of each?,Scipy.org recommends that you use arrays:
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,A module is a file containing Python definitions and statements. The file name is the module name with the suffix .py
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,Python 3 - UPDATED 18th November 2015
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","Sure, take a look at sys.version and sys.version_info."
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","Try this code, this should work:"
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,"If I understand correctly, assignment should fill:"
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,"To add to DSM's answer and building on this associated question, I'd split the approach into two cases:"
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ","Try PDFMiner. It can extract text from PDF files as HTML, SGML or ""Tagged PDF"" format."
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",The PDFMiner package has changed since codeape posted.  
How can I convert a DataFrame column of strings (in dd/mm/yyyy format) to datetimes?,The easiest way is to use to_datetime:
How can I convert a DataFrame column of strings (in dd/mm/yyyy format) to datetimes?,"If your date column is a string of the format '2017-01-01'
you can use pandas astype to convert it to datetime."
"On my local machine, I run a python script which contains this line","Don't use os.system. It has been deprecated in favor of subprocess. From the docs: ""This module intends to replace several older modules and functions: os.system, os.spawn""."
"On my local machine, I run a python script which contains this line","To somewhat expand on the earlier answers here, there are a number of details which are commonly overlooked."
Right now I'm importing a fairly large CSV as a dataframe every time I run the script. Is there a good solution for keeping that dataframe constantly available in between runs so I don't have to spend all that time waiting for the script to run?,The easiest way is to pickle it using to_pickle:
Right now I'm importing a fairly large CSV as a dataframe every time I run the script. Is there a good solution for keeping that dataframe constantly available in between runs so I don't have to spend all that time waiting for the script to run?,Although there are already some answers I found a nice comparison in which they tried several ways to serialize Pandas DataFrames: Efficiently Store Pandas DataFrames. 
Is there a way to have a defaultdict(defaultdict(int)) in order to make the following code work?,Yes like this:
Is there a way to have a defaultdict(defaultdict(int)) in order to make the following code work?,The parameter to the defaultdict constructor is the function which will be called for building new elements. So let's use a lambda !
"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:",You can use set_printoptions to set the precision of the output:
"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","You can get a subset of the np.set_printoptions functionality from the np.array_str command, which applies only to a single print statement."
"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","This error usually rises when you join / assign to a column when the index has duplicate values. Since you are assigning to a row, I suspect that there is a duplicate value in affinity_matrix.columns, perhaps not shown in your question."
"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","As others have said, you've probably got duplicate values in your original index. To find them do this:"
In C# there's a null-coalescing operator (written as ??) that allows for easy (short) null checking during assignment:,"Ok, it must be clarified how the or operator works. It is a boolean operator, so it works in a boolean context. If the values are not boolean, they are converted to boolean for the purposes of the operator."
In C# there's a null-coalescing operator (written as ??) that allows for easy (short) null checking during assignment:,"Strictly,"
"I have a list of tuples in Python, and I have a conditional where I want to take the branch ONLY if the tuple is not in the list (if it is in the list, then I don't want to take the if branch)","The bug is probably somewhere else in your code, because it should work fine:"
"I have a list of tuples in Python, and I have a conditional where I want to take the branch ONLY if the tuple is not in the list (if it is in the list, then I don't want to take the if branch)","The cheapest and most readable solution is using the in operator (or in your specific case, not in). As mentioned in the documentation,"
"In comparison to Java (in a string), you would do something like ""First Line\r\nSecond Line"".","It depends on how correct you want to be. \n will usually do the job. If you really want to get it right, you look up the newline character in the os package. (It's actually called linesep.)"
"In comparison to Java (in a string), you would do something like ""First Line\r\nSecond Line"".",The new line character is \n. It is used inside a string.
I want to send a datetime.datetime object in serialized form from Python using JSON and de-serialize in JavaScript using JSON. What is the best way to do this?,You can add the 'default' parameter to json.dumps to handle this:
I want to send a datetime.datetime object in serialized form from Python using JSON and de-serialize in JavaScript using JSON. What is the best way to do this?,"For cross-language projects, I found out that strings containing RfC 3339 dates are the best way to go. An RfC 3339 date looks like this:"
I would like to get some feedback on these tools on:,"Well, I am a bit curious, so I just tested the three myself right after asking the question ;-)"
I would like to get some feedback on these tools on:,pep8 was recently added to PyPi.
How can I order by descending my query set in django by date?,Notice the - before check_in.
How can I order by descending my query set in django by date?,"A hyphen ""-"" in front of ""check_in"" indicates descending order. Ascending order is implied."
I want to delete a particular record. Such as,There are a couple of ways:
I want to delete a particular record. Such as,this will raise exception if the object with specified primary key doesn't exist because at first it tries to retrieve the specified object.
In order to test some functionality I would like to create a DataFrame from a string. Let's say my test data looks like:,A simple way to do this is to use StringIO.StringIO (python2) or io.StringIO (python3) and pass that to the pandas.read_csv function. E.g:
In order to test some functionality I would like to create a DataFrame from a string. Let's say my test data looks like:,Split Method
"In Python, I've seen two variable values swapped using this syntax:","Python evaluates expressions from left to right. Notice that while
evaluating an assignment, the right-hand side is evaluated before the
left-hand side."
"In Python, I've seen two variable values swapped using this syntax:","That is the standard way to swap two variables, yes."
"I have seen many projects using simplejson module instead of json module from the Standard Library. Also, there are many different simplejson modules. Why would use these alternatives, instead of the one in the Standard Library?","json is simplejson, added to the stdlib. But since json was added in 2.6, simplejson has the advantage of working on more Python versions (2.4+). "
"I have seen many projects using simplejson module instead of json module from the Standard Library. Also, there are many different simplejson modules. Why would use these alternatives, instead of the one in the Standard Library?",I have to disagree with the other answers: the built in json library (in Python 2.7) is not necessarily slower than simplejson. It also doesn't have this annoying unicode bug.
"Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing","I'm not entirely sure what you want, and your last line of code does not help either, but anyway:"
"Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing",Filters can be chained using a Pandas query:
"In Python for *nix, does time.sleep() block the thread or the process?","It blocks the thread.  If you look in Modules/timemodule.c in the Python source, you'll see that in the call to floatsleep(), the substantive part of the sleep operation is wrapped in a Py_BEGIN_ALLOW_THREADS and Py_END_ALLOW_THREADS block, allowing other threads to continue to execute while the current one sleeps.  You can also test this with a simple python program:"
"In Python for *nix, does time.sleep() block the thread or the process?","It will just sleep the thread except in the case where your application has only a single thread, in which case it will sleep the thread and effectively the process as well."
What is the difference between 'SAME' and 'VALID' padding in tf.nn.max_pool of tensorflow?,If you like ascii art:
