,question,answer,key phrases
128,How can I select rows from a DataFrame based on values in some column in Pandas?,"I find the syntax of the previous answers to be redundant and difficult to remember. Pandas introduced the query() method in v0.13 and I much prefer it. For your question, you could do df.query('col == val')",
132,How do you change the size of figure drawn with Matplotlib?,"There is also this workaround in case you want to change the size without using the figure environment. So in case you are using plt.plot() for example, you can set a tuple with width and height.",
133,How do you change the size of figure drawn with Matplotlib?,"Deprecation note:
  As per the official Matplotlib guide, usage of the pylab module is no longer recommended. Please consider using the matplotlib.pyplot module instead, as described by this other answer.",
136,How can I raise an exception in Python so that it can later be caught via an except block?,DON'T DO THIS. Raising a bare Exception is absolutely not the right thing to do; see Aaron Hall's excellent answer instead.,
138,How can I raise an exception in Python so that it can later be caught via an except block?,"For the common case where you need to throw an exception in response to some unexpected conditions, and that you never intend to catch, but simply to fail fast to enable you to debug from there if it ever happens — the most logical one seems to be AssertionError:",
140,How can I output colored text to the terminal in Python?,"This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some Python code from the Blender build scripts:",
144,How can I output colored text to the terminal in Python?,Define a string that starts a color and a string that ends the color. Then print your text with the start string at the front and the end string at the end.,
153,"In Python, what commands can I use to find:","The pathlib module, introduced in Python 3.4 (PEP 428 — The pathlib module — object-oriented filesystem paths), makes the path-related experience much much better.",
160,pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Node.js, Haskell, Perl, Go—almost every other contemporary language with a majority open-source community. Thank you, Python.",
161,pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"-- Outdated -- use distribute, not setuptools as described here. --
-- Outdated #2 -- use setuptools as distribute is deprecated.",
164,pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"Python 3.4, which  was released in March 2014, comes with pip included:
http://docs.python.org/3.4/whatsnew/3.4.html
So, since the release of Python 3.4, the up-to-date way to install pip on Windows is to just install Python.",
165,"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","The Python 3 range() object doesn't produce numbers immediately; it is a smart sequence object that produces numbers on demand. All it contains is your start, stop and step values, then as you iterate over the object the next integer is calculated each iteration.",
166,"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","The fundamental misunderstanding here is in thinking that range is a generator. It's not. In fact, it's not any kind of iterator.",
168,"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","To add to Martijn’s answer, this is the relevant part of the source (in C, as the range object is written in native code):",
171,"In Python, how do you get the last element of a list?","If your str() or list() objects might end up being empty as so: astr = '' or alist = [], then you might want to use alist[-1:] instead of alist[-1] for object ""sameness"".",
177,"When deleting a key from a dictionary, I use:","It took me some time to figure out what exactly my_dict.pop(""key"", None) is doing. So I'll add this as an answer to save others googling time:",
179,"When deleting a key from a dictionary, I use:","If you need to remove a lot of keys from a dictionary in one line of code, I think using map() is quite succinct and Pythonic readable:",
189,Is it possible to have static class variables or methods in Python? What syntax is required to do this?,Personally I would use a classmethod whenever I needed a static method. Mainly because I get the class as an argument.,
191,I'd like to do it in Python. What I'd like to do in this example in C:,"For Python 2 and earlier, it should be as simple as described in Re: How does one print without a CR? by Guido van Rossum (paraphrased):",
193,I'd like to do it in Python. What I'd like to do in this example in C:,Use the Python 3-style print function for Python 2.6+ (it will also break any existing keyworded print statements in the same file).,
197,"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?","Patrick's solution is probably the cleanest.
If you need to dynamically pick up the module as well, you can import it like:",
198,"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?","Just a simple contribution. If the class that we need to instance is in the same file, we can use something like this:",
199,"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?","Given a string, with a complete python path to a function, this is how I went about getting the result of said function:",
200,Consider the following:,The len() function can be used with several different types in Python - both built-in types and library types. For example:,
202,Consider the following:,"While this may not be useful due to the fact that it'd make a lot more sense as being ""out of the box"" functionality, a fairly simple hack would be to build a class with a length property:",
203,Consider the following:,"Besides len you can also use operator.length_hint (requires Python 3.4+). For a normal list both are equivalent, but length_hint makes it possible to get the length of a list-iterator, which could be useful in certain circumstances:",
204,Consider the following:,"And for completeness (primarily educational), it is possible without using the len() function. I would not condone this as a good option DO NOT PROGRAM LIKE THIS IN PYTHON, but it serves a purpose for learning algorithms.",
206,Assume I have the following list:,"If you want to randomly select more than one item from a list, or select an item from a set, I'd recommend using random.sample instead.",
208,Assume I have the following list:,"As of Python 3.6 you can use the secrets module, which is preferable to the random module for cryptography or security uses.",
211,Is there a way in Python to determine if an object has some attribute?  For example:,"As Jarret Hardie answered, hasattr will do the trick.  I would like to add, though, that many in the Python community recommend a strategy of ""easier to ask for forgiveness than permission"" (EAFP) rather than ""look before you leap"" (LBYL).  See these references:",
212,Is there a way in Python to determine if an object has some attribute?  For example:,"You can use hasattr() or catch AttributeError, but if you really just want the value of the attribute with a default if it isn't there, the best option is just to use getattr():",
213,Is there a way in Python to determine if an object has some attribute?  For example:,"I think what you are looking for is hasattr. However, I'd recommend something like this if you want to detect python properties-",
214,Is there a way in Python to determine if an object has some attribute?  For example:,"According to pydoc, hasattr(obj, prop) simply calls getattr(obj, prop) and catches exceptions. So, it is just as valid to wrap the attribute access with a try statement and catch AttributeError as it is to use hasattr() beforehand.",
221,We are working on an S60 version and this platform has a nice Python API..,"There is also the new Android Scripting Environment (ASE/SL4A) project. It looks awesome, and it has some integration with native Android components. ",
223,We are working on an S60 version and this platform has a nice Python API..,Pygame is a 2D game engine for Python (on desktop) that is popular with new programmers. The Pygame Subset for Android describes itself as...,
224,We are working on an S60 version and this platform has a nice Python API..,"As a Python lover and Android programmer, I'm sad to say this is not a good way to go. There are two problems:",
225,I want a to be rounded to 13.95.,You are running into the old problem with floating point numbers that not all numbers can be represented exactly. The command line is just showing you the full floating point form from memory.,
228,I want a to be rounded to 13.95.,"Nobody here seems to have mentioned it yet, so let me give an example in Python 3.6's f-string/template-string format, which I think is beautifully neat:",
230,"I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is rusty and I'm not yet an expert Pythonista, please tell me if I'm doing something wrong or if I'm misunderstanding something.","By default, cin is synchronized with stdio, which causes it to avoid any input buffering.  If you add this to the top of your main, you should see much better performance:",
231,"I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is rusty and I'm not yet an expert Pythonista, please tell me if I'm doing something wrong or if I'm misunderstanding something.","Just out of curiosity I've taken a look at what happens under the hood, and I've used dtruss/strace on each test.",
234,"I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is rusty and I'm not yet an expert Pythonista, please tell me if I'm doing something wrong or if I'm misunderstanding something.","getline, stream operators, scanf, can be convenient if you don't care about file loading time or if you are loading small text files. But, if the performance is something you care about, you should really just buffer the entire file into memory (assuming it will fit).",
235,I have the following folder structure.,"Note: This answer was intended for a very specific question. For most programmers coming here from a search engine, this is not the answer you are looking for. Typically you would structure your files into packages (see other answers) instead of modifying the search path.",
245,"Is there a simple way to determine if a variable is a list, dictionary, or something else? I am getting an object back that may be either type and I need to be able to tell the difference.","There are two built-in functions that help you identify the type of an object. You can use type()  if you need the exact type of an object, and isinstance() to check an object’s type against something. Usually, you want to use isinstance() most of the times since it is very robust and also supports type inheritance.",
247,"Is there a simple way to determine if a variable is a list, dictionary, or something else? I am getting an object back that may be either type and I need to be able to tell the difference.","It might be more Pythonic to use a try...except block. That way, if you have a class which quacks like a list, or quacks like a dict, it will behave properly regardless of what its type really is.",
250,This has always confused me. It seems like this would be nicer:,"It's because any iterable can be joined (e.g, list, tuple, dict, set), but its contents and the ""joiner"" must be strings.",
251,This has always confused me. It seems like this would be nicer:,"This was discussed in the String methods... finally thread in the Python-Dev achive, and was accepted by Guido. This thread began in Jun 1999, and str.join was included in Python 1.6 which was released in Sep 2000 (and supported Unicode). Python 2.0 (supported str methods including join) was released in Oct 2000.",
253,This has always confused me. It seems like this would be nicer:,"I agree that it's counterintuitive at first, but there's a good reason. Join can't be a method of a list because:",
254,This has always confused me. It seems like this would be nicer:,"This is because join is a ""string"" method! It creates a string from any iterable. If we stuck the method on lists, what about when we have iterables that aren't lists? ",
257,How do I remove an element from a list by index in Python?,Like others mentioned pop and del are the efficient ways to remove an item of given index. Yet just for the sake of completion (since the same thing can be done via many ways in Python):,
259,How do I remove an element from a list by index in Python?,"If you want to remove elements at specific positions in a list, like the 2nd, 3rd and 7th elements, you can't use",
261,"Is it possible to have static methods in Python which I could call without initializing a class, like:","I think that Steven is actually right. To answer the original question, then, in order to set up a class method, simply assume that the first argument is not going to be a calling instance, and then make sure that you only call the method from the class.",
263,"Is it possible to have static methods in Python which I could call without initializing a class, like:",You don't really need to use the @staticmethod decorator. Just declaring a method (that doesn't expect the self parameter) and call it from the class. The decorator is only there in case you want to be able to call it from an instance as well (which was not what you wanted to do),
265,How do you append to the file instead of overwriting it? Is there a special function that appends to the file?,"This can be achieved by setting the mode in open() to ""a"" (append) instead of ""w"" (write). See the documentation op open() for all available modes.",
280,Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. ,"Though classmethod and staticmethod are quite similar, there's a slight difference in usage for both entities: classmethod must have a reference to a class object as the first parameter, whereas staticmethod can have no parameters at all.",
281,Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. ,Rostyslav Dzinko's answer is very appropriate. I thought I could highlight one other reason you should choose @classmethod over @staticmethod when you are creating an additional constructor.,
282,Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. ,"@classmethod means: when this method is called, we pass the class as the first argument instead of the instance of that class (as we normally do with methods). This means you can use the class and its properties inside that method rather than a particular instance.",
283,Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. ,@staticmethod function is nothing more than a function defined inside a class. It is callable without instantiating the class first. It’s definition is immutable via inheritance.,
285,How do I find out a name of class that created an instance of an object in Python if the function I am doing this from is the base class of which the class of the instance has been derived?,"Have you tried the __name__ attribute of the class? ie type(x).__name__ will give you the name of the class, which I think is what you want.",
288,How do I find out a name of class that created an instance of an object in Python if the function I am doing this from is the base class of which the class of the instance has been derived?,"The sample code above (when input in the interactive interpreter) will produce '__main__.A' as opposed to 'A' which is produced if the __name__ attribute is invoked. By simply passing the result of A.__class__ to the str constructor the parsing is handled for you. However, you could also use the following code if you want something more explicit.",
292,"What I want is to start counting time somewhere in my code and then get the passed time, to measure the time it took to execute few function. I think I'm using the timeit module wrong, but the docs are just confusing for me.","Since time.clock() is deprecated as of Python 3.3, you will want to use time.perf_counter() for system-wide timing, or time.process_time() for process-wide timing, just the way you used to use time.clock():",
296,"I have a very long query. I would like to split it in several lines in Python. A way to do it in JavaScript would be using several sentences and joining them with a + operator (I know, maybe it's not the most efficient way to do it, but I'm not really concerned about performance in this stage, just code readability). Example:","If you don't want a multiline string, but just have a long single line string, you can use parentheses. Just make sure you don't include commas between the string segments (then it will be a tuple).",
299,"I have a very long query. I would like to split it in several lines in Python. A way to do it in JavaScript would be using several sentences and joining them with a + operator (I know, maybe it's not the most efficient way to do it, but I'm not really concerned about performance in this stage, just code readability). Example:","I find that when building long strings, you are usually doing something like building an SQL query, in which case this is best:",
309,"I am trying to install version 1.2.2 of MySQL_python, using a fresh virtualenv created with the --no-site-packages option. The current version shown in PyPi is 1.2.3. Is there a way to install the older version? I have tried:","I believe that if you already have a package it installed, pip will not overwrite it with another version.  Use -I to ignore previous versions.",
312,I spent most of the day yesterday searching for a clear answer for installing pip (package manager for Python). I can't find a good solution.,"I'm surprised no-one has mentioned this - since 2013, python itself is capable of installing pip, no external commands (and no internet connection) required.",
315,"Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that seem to match the regex (py)?(v|virtual|pip)?env?","This is my personal recommendation for beginners: start by learning virtualenv and pip, tools which work with both Python 2 and 3 and in a variety of situations, and pick up other tools once you start needing them.",
316,"Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that seem to match the regex (py)?(v|virtual|pip)?env?",I would just avoid the use of virtualenv after Python3.3+ and instead use the standard shipped library venv. To create a new virtual environment you would type:,
322,"I'm trying to do some of the code golf challenges, but they all require the input to be taken from stdin. How do I get that in Python?","Note that this will include a newline character at the end. To remove the newline at the end, use line.rstrip() as @brittohalloran said.",
328,There are several ways to write to stderr:,"Nobody's mentioned logging yet, but logging was created specifically to communicate error messages. Basic configuration will set up a stream handler writing to stderr.",
329,There are several ways to write to stderr:,"For Python 2 my choice is:
print >> sys.stderr, 'spam'
Because you can simply print lists/dicts etc. without convert it to string. 
print >> sys.stderr, {'spam': 'spam'}
instead of:
sys.stderr.write(str({'spam': 'spam'}))",
330,"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both?","Names, in a class, with a leading underscore are simply to indicate to other programmers that the attribute or method is intended to be private.  However, nothing special is done with the name itself.",
331,"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both?","__foo__: this is just a convention, a way for the Python system to use names that won't conflict with user names.",
332,"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both?","Excellent answers so far but some tidbits are missing. A single leading underscore isn't exactly just a convention: if you use from foobar import *, and module foobar does not define an __all__ list, the names imported from the module do not include those with a leading underscore. Let's say it's mostly a convention, since this case is a pretty obscure corner;-).",
336,"What's the proper way to declare custom exception classes in modern Python? My primary goal is to follow whatever standard other exception classes have, so that (for instance) any extra string I include in the exception is printed out by whatever tool caught the exception.","With modern Python Exceptions, you don't need to abuse .message, or override .__str__() or .__repr__() or any of it. If all you want is an informative message when your exception is raised, do this:",
340,What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type?,"To check if o is an instance of str or any subclass of str, use isinstance (this would be the ""canonical"" way):",
343,What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type?,"After the question was asked and answered, type hints were added to Python. Type hints in Python allow types to be checked but in a very different way from statically typed languages. Type hints in Python associate the expected types of arguments with functions as runtime accessible data associated with functions and this allows for types to be checked. Example of type hint syntax:",
345,I have a JSON file that is a mess that I want to prettyprint. What's the easiest way to do this in Python?,"The json module already implements some basic pretty printing in the dump and dumps functions, with the indent parameter that specifies how many spaces to indent by:",
349,I have a JSON file that is a mess that I want to prettyprint. What's the easiest way to do this in Python?,Use this function and don't sweat having to remember if your JSON is a str or dict again - just look at the pretty print:,
350,I am trying to build a shared library using a C extension file but first I have to generate the output file using the command below:,Looks like you haven't properly installed the header files and static libraries for python dev.  Use your package manager to install them system-wide.,
360,"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to __main__.","Python includes a profiler called cProfile. It not only gives the total running time, but also times each function separately, and tells you how many times each function was called, making it easy to determine where you should make optimizations.",
361,"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to __main__.","A while ago I made pycallgraph which generates a visualisation from your Python code. Edit: I've updated the example to work with 3.3, the latest release as of this writing.",
362,"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to __main__.","It's worth pointing out that using the profiler only works (by default) on the main thread, and you won't get any information from other threads if you use them.  This can be a bit of a gotcha as it is completely unmentioned in the profiler documentation.",
364,"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to __main__.","@Maxy's comment on this answer helped me out enough that I think it deserves its own answer: I already had cProfile-generated .pstats files and I didn't want to re-run things with pycallgraph, so I used gprof2dot, and got pretty svgs:",
368,"I'm trying to get the number of rows of dataframe df with Pandas, and here is my code.","This table summarises the different situations in which you'd want to count something in a DataFrame (or Series, for completeness), along with the recommended method(s).",
369,"I'm trying to get the number of rows of dataframe df with Pandas, and here is my code.","len() lets you for getting the number of items in a list. So, for getting row counts of a DataFrame, simply use len(df).",
371,How can I load a Python module given its full path?,The advantage of adding a path to sys.path (over using imp) is that it simplifies things when importing more than one module from a single package.  For example:,
373,How can I load a Python module given its full path?,"If your top-level module is not a file but is packaged as a directory with __init__.py, then the accepted solution almost works, but not quite. In Python 3.5+ the following code is needed (note the added line that begins with 'sys.modules'):",
374,How can I load a Python module given its full path?,"It sounds like you don't want to specifically import the configuration file (which has a whole lot of side effects and additional complications involved). You just want to run it, and be able to access the resulting namespace. The standard library provides an API specifically for that in the form of runpy.run_path:",
375,So I have difficulty with the concept of *args and **kwargs.,The syntax is the * and **.  The names *args and **kwargs are only by convention but there's no hard requirement to use them.,
379,So I have difficulty with the concept of *args and **kwargs.,"One case where *args and **kwargs are useful is when writing wrapper functions (such as decorators) that need to be able accept arbitrary arguments to pass through to the function being wrapped.  For example, a simple decorator that prints the arguments and return value of the function being wrapped:",
383,"How can I represent an infinite number in python? No matter which number you enter in the program, no number should be greater than this representation of infinity.","I don't know exactly what you are doing, but float(""inf"") gives you a float Infinity, which is greater than any other number.",
384,"How can I represent an infinite number in python? No matter which number you enter in the program, no number should be greater than this representation of infinity.",There is an infinity in the NumPy library: from numpy import inf. To get negative infinity one can simply write -inf.,
388,What is the quickest way to HTTP GET in Python if I know the content will be a string? I am searching the documentation for a quick one-liner like:,"Have a look at httplib2, which - next to a lot of very useful features - provides exactly what you want.",
390,"I'm coming from the Java world and reading Bruce Eckels' Python 3 Patterns, Recipes and Idioms. ","It's cultural.  In Python, you don't write to other classes' instance or class variables.  In Java, nothing prevents you from doing the same if you really want to - after all, you can always edit the source of the class itself to achieve the same effect. Python drops that pretence of security and encourages programmers to be responsible. In practice, this works very nicely.",
392,"I'm coming from the Java world and reading Bruce Eckels' Python 3 Patterns, Recipes and Idioms. ","As correctly mentioned by many of the comments above, let's not forget the main goal of Access Modifiers: To help users of code understand what is supposed to change and what is supposed not to. When you see a private field you don't mess around with it. So it's mostly syntactic sugar which is easily achieved in Python by the _ and __.",
394,"I'm coming from the Java world and reading Bruce Eckels' Python 3 Patterns, Recipes and Idioms. ","As mentioned earlier, you can indicate that a variable or method is private by prefixing it with an underscore. If you don't feel like this is enough, you can always use the property decorator. Here's an example:",
401,I have a data frame df and I use several columns from it to groupby:,"On groupby object, the agg function can take a list to apply several aggregation methods at once. This should give you the result you need:",
407,"I've come across situations where a current version of a package seems not to be working and requires reinstallation. But pip install -U won't touch a package that is already up-to-date. I see how to force a reinstallation by first uninstalling (with pip uninstall) and then installing, but is there a way to simply force an ""update"" to a nominally current version in a single step?","If you want to reinstall packages specified in a requirements.txt file, without upgrading, so just reinstall the specific versions specified in the requirements.txt file:",
411,"I want to create a series of lists, all of varying lengths. Each list will contain the same element e, repeated n times (where n = length of the list).",Be careful when the item being repeated is a list. The list will not be cloned: all the elements will refer to the same list!,
414,"I want to create a series of lists, all of varying lengths. Each list will contain the same element e, repeated n times (where n = length of the list).","As others have pointed out, using the * operator for a mutable object duplicates references, so if you change one you change them all. If you want to create independent instances of a mutable object, your xrange syntax is the most Pythonic way to do this. If you are bothered by having a named variable that is never used, you can use the anonymous underscore variable.",
