question,answer,key phrases
"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned its result instead of modifying a dictionary in-place.","This probably won't be a popular answer, but you almost certainly do not want to do this.  If you want a copy that's a merge, then use copy (or deepcopy, depending on what you want) and then update.  The two lines of code are much more readable - more Pythonic - than the single line creation with .items() + .items().  Explicit is better than implicit.",
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,Use the subprocess module in the standard library:,
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,"Summary of ways to call external programs, including their advantages and disadvantages:",
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,Typical implementation:,
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,Some hints on detaching the child process from the calling one (starting the child process in background).,
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,"Note that this is dangerous, since the command isn't cleaned. I leave it up to you to google for the relevant documentation on the 'os' and 'sys' modules. There are a bunch of functions (exec* and spawn*) that will do similar things.",
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:","On Python ≥ 3.5, use pathlib.Path.mkdir:",
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:","pathlib.Path.mkdir as used above recursively creates the directory and does not raise an exception if the directory already exists. If you don't need or want the parents to be created, skip the parents argument.",
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:",Using try except and the right error code from errno module gets rid of the race condition and is cross-platform:,
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:","Starting from Python 3.5, pathlib.Path.mkdir has an exist_ok flag:",
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:",I would personally recommend that you use os.path.isdir() to test instead of os.path.exists().,
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"Maybe a bit of example code will help: Notice the difference in the call signatures of foo, class_foo and static_foo:",
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"A staticmethod is a method that knows nothing about the class or instance it was called on. It just gets the arguments that were passed, no implicit first argument. It is basically useless in Python -- you can just use a module function instead of a staticmethod.",
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"Basically @classmethod makes a method whose first argument is the class it's called from (rather than the class instance), @staticmethod does not have any implicit arguments.",
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,Official python docs:,
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"To decide whether to use @staticmethod or @classmethod you have to look inside your method. If your method accesses other variables/methods in your class then use @classmethod. On the other hand, if your method does not touches any other parts of the class then use @staticmethod.",
I need a good explanation (references are a plus) on Python's slice notation. ,It's pretty simple really:,
I need a good explanation (references are a plus) on Python's slice notation. ,The Python tutorial talks about it (scroll down a bit until you get to the part about slicing).,
I need a good explanation (references are a plus) on Python's slice notation. ,Enumerating the possibilities allowed by the grammar:,
I need a good explanation (references are a plus) on Python's slice notation. ,"The answers above don't discuss slice assignment. To understand slice assignment, it's helpful to add another concept to the ASCII art:",
I need a good explanation (references are a plus) on Python's slice notation. ,"In short, the colons (:) in subscript notation (subscriptable[subscriptarg]) make slice notation - which has the optional arguments, start, stop, step:",
I am a bit puzzled by the following code:,key is just a variable name.  ,
I am a bit puzzled by the following code:,"It's not that key is a special word, but that dictionaries implement the iterator protocol.  You could do this in your class, e.g. see this question for how to build class iterators.",
I am a bit puzzled by the following code:,"Iterating over a dict iterates through its keys in no particular order, as you can see here:",
I am a bit puzzled by the following code:,key is simply a variable.,
I am a bit puzzled by the following code:,"When you iterate through dictionaries using the for .. in ..-syntax, it always iterates over the keys (the values are accessible using dictionary[key]).",
How can I create or use a global variable in a function?,You can use a global variable within other functions by declaring it as global within each function that assigns a value to it:,
How can I create or use a global variable in a function?,"If I'm understanding your situation correctly, what you're seeing is the result of how Python handles local (function) and global (module) namespaces.",
How can I create or use a global variable in a function?,"You may want to explore the notion of namespaces. In Python, the module is the natural place for global data:",
How can I create or use a global variable in a function?,"Python uses a simple heuristic to decide which scope it should load a variable from, between local and global.  If a variable name appears on the left hand side of an assignment, but is not declared global, it is assumed to be local.  If it does not appear on the left hand side of an assignment, it is assumed to be global.  ",
How can I create or use a global variable in a function?,"If you want to refer to a global variable in a function, you can use the global keyword to declare which variables are global. You don't have to use it in all cases (as someone here incorrectly claims) - if the name referenced in an expression cannot be found in local scope or scopes in the functions in which this function is defined, it is looked up among global variables.",
I'm looking for a string.contains or string.indexof method in Python.,You can use the in operator:,
I'm looking for a string.contains or string.indexof method in Python.,"If it's just a substring search you can use string.find(""substring"").",
I'm looking for a string.contains or string.indexof method in Python.,"99% of use cases will be covered using the keyword, in, which returns True or False:",
I'm looking for a string.contains or string.indexof method in Python.,"if needle in haystack: is the normal use, as @Michael says -- it relies on the in operator, more readable and faster than a method call.",
I'm looking for a string.contains or string.indexof method in Python.,Here are a few useful examples that speak for themselves concerning the in method:,
I know that I can do:,From Python Documentation:,
I know that I can do:,Do this:,
I know that I can do:,From Python documentation -> 8.3 Handling Exceptions:,
I know that I can do:,"If you frequently use a large number of exceptions, you can pre-define a tuple, so you don't have to re-type them many times. ",
I know that I can do:,One of the way to do this is..,
What is the difference between __str__ and __repr__ in Python?,"Alex summarized well but, surprisingly, was too succinct.",
What is the difference between __str__ and __repr__ in Python?,"My rule of thumb:  __repr__ is for developers, __str__ is for customers.",
What is the difference between __str__ and __repr__ in Python?,"Unless you specifically act to ensure otherwise, most classes don't have helpful results for either:",
What is the difference between __str__ and __repr__ in Python?,__repr__: representation of python object usually eval will convert it back to that object,
What is the difference between __str__ and __repr__ in Python?,"In short, the goal of __repr__ is to be unambiguous and __str__ is to be
  readable.",
How do I concatenate two lists in Python?,You can use the + operator to combine them:,
How do I concatenate two lists in Python?,"Python >= 3.5 alternative: [*l1, *l2]",
How do I concatenate two lists in Python?,It's also possible to create a generator that simply iterates over the items in both lists using itertools.chain(). This allows you to chain lists (or any iterable) together for processing without copying the items to a new list:,
How do I concatenate two lists in Python?,You could also use the list.extend() method in order to add a list to the end of another one:,
How do I concatenate two lists in Python?,You can use sets to obtain merged list of unique values,
"For example, if passed the following:",Using the implicit booleanness of the empty list is quite pythonic.,
"For example, if passed the following:",The pythonic way to do it is from the PEP 8 style guide.,
"For example, if passed the following:",I prefer it explicitly:,
"For example, if passed the following:","This is the first google hit for ""python test empty array"" and similar queries, plus other people seem to be generalizing the question beyond just lists, so I thought I'd add a caveat for a different type of sequence that a lot of people might use.",
"For example, if passed the following:","For example, if passed the following:",
What's the difference between the list methods append() and extend()?,append appends object at the end.,
What's the difference between the list methods append() and extend()?,"append adds an element to a list, and extend concatenates the first list with another list (or another iterable, not necessarily a list.)",
What's the difference between the list methods append() and extend()?,The list.append method appends an object to the end of the list.,
What's the difference between the list methods append() and extend()?,append appends a single element. extend appends a list of elements.,
What's the difference between the list methods append() and extend()?,With append you can append a single element that will extend the list:,
What is __init__.py for in a Python source directory?,"It used to be a required part of a package (old, pre-3.3 ""regular package"", not newer 3.3+ ""namespace package"").",
What is __init__.py for in a Python source directory?,"Files named __init__.py are used to mark directories on disk as Python package directories.
If you have the files",
What is __init__.py for in a Python source directory?,"In addition to labeling a directory as a Python package and defining __all__, __init__.py allows you to define any variable at the package level. Doing so is often convenient if a package defines something that will be imported frequently, in an API-like fashion. This pattern promotes adherence to the Pythonic ""flat is better than nested"" philosophy.",
What is __init__.py for in a Python source directory?,There are 2 main reasons for __init__.py,
What is __init__.py for in a Python source directory?,The __init__.py file makes Python treat directories containing it as modules. ,
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,"Actually, this is not a design flaw, and it is not because of internals or performance.
It comes simply from the fact that functions in Python are first-class objects, and not only a piece of code.",
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,Suppose you have the following code,
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,The relevant part of the documentation:,
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,I know nothing about the Python interpreter inner workings (and I'm not an expert in compilers and interpreters either) so don't blame me if I propose anything unsensible or impossible.,
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,"Well, the reason is quite simply that bindings are done when code is executed, and the function definition is executed, well... when the functions is defined.",
I would like to know how to put a time delay in a Python script.,Here is another example where something is run approximately once a minute:,
I would like to know how to put a time delay in a Python script.,You can use the sleep() function in the time module. It can take a float argument for sub-second resolution.,
I would like to know how to put a time delay in a Python script.,In a single thread I suggest the sleep function:,
I would like to know how to put a time delay in a Python script.,Delays can be also implemented by using the following methods.,
I would like to know how to put a time delay in a Python script.,"There are five methods which I know: time.sleep(), pygame.time.wait(), matplotlib's pyplot.pause(), .after(), and asyncio.sleep().",
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'",Arguments are passed by assignment. The rationale behind this is twofold:,
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'","The problem comes from a misunderstanding of what variables are in Python. If you're used to most traditional languages, you have a mental model of what happens in the following sequence:",
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'","I found the other answers rather long and complicated, so I created this simple diagram to explain the way Python treats variables and parameters.
",
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'","It is neither pass-by-value or pass-by-reference - it is call-by-object. See this, by Fredrik Lundh:",
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'","Think of stuff being passed by assignment instead of by reference/by value. That way, it is always clear, what is happening as long as you understand what happens during the normal assignment.",
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","With new_list = my_list, you don't actually have two lists. The assignment just copies the reference to the list, not the actual list, so both new_list and my_list refer to the same list after the assignment.",
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","Felix already provided an excellent answer, but I thought I'd do a speed comparison of the various methods:",
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","I've been told that Python 3.3+ adds the list.copy() method, which should be as fast as slicing:",
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","In Python 3, a shallow copy can be made with:",
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","There are many answers already that tell you how to make a proper copy, but none of them say why your original 'copy' failed. ",
How can I make two decorators in Python that would do the following?,"If you are not into long explanations, see Paolo Bergantino’s answer.",
How can I make two decorators in Python that would do the following?,Check out the documentation to see how decorators work. Here is what you asked for:,
How can I make two decorators in Python that would do the following?,"Alternatively, you could write a factory function which return a decorator which wraps the return value of the decorated function in a tag passed to the factory function. For example:",
How can I make two decorators in Python that would do the following?,It looks like the other people have already told you how to solve the problem. I hope this will help you understand what decorators are.,
How can I make two decorators in Python that would do the following?,And of course you can return lambdas as well from a decorator function:,
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ","super() lets you avoid referring to the base class explicitly, which can be nice. But the main advantage comes with multiple inheritance, where all sorts of fun stuff can happen. See the standard docs on super if you haven't already.",
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ",The reason we use super is so that child classes that may be using cooperative multiple inheritance will call the correct next parent class function in the Method Resolution Order (MRO).,
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ",It's been noted that in Python 3.0+ you can use,
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ",Super has no side effects,
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ","Just a heads up... with Python 2.7, and I believe ever since super() was introduced in version 2.2, you can only call super() if one of the parents inherit from a class that eventually inherits object (new-style classes).",
"In the following method definitions, what does the * and ** do for param2?",The *args and **kwargs is a common idiom to allow arbitrary number of arguments to functions as described in the section more on defining functions in the Python documentation.,
"In the following method definitions, what does the * and ** do for param2?","It's also worth noting that you can use * and ** when calling functions as well. This is a shortcut that allows you to pass multiple arguments to a function directly using either a list/tuple or a dictionary. For example, if you have the following function:",
"In the following method definitions, what does the * and ** do for param2?","The single * means that there can be any number of extra positional arguments. foo() can be invoked like foo(1,2,3,4,5). In the body of foo() param2 is a sequence containing 2-5.",
"In the following method definitions, what does the * and ** do for param2?","They allow for functions to be defined to accept and for users to pass any number of arguments, positional (*) and keyword (**).",
"In the following method definitions, what does the * and ** do for param2?","Let us first understand what are positional arguments and keyword arguments.
Below is an example of function definition with Positional arguments.",
How can I select rows from a DataFrame based on values in some column in Pandas?,"To select rows whose column value equals a scalar, some_value, use ==:",
How can I select rows from a DataFrame based on values in some column in Pandas?,There are several ways to select rows from a Pandas dataframe:,
How can I select rows from a DataFrame based on values in some column in Pandas?,The Pandas equivalent to,
How can I select rows from a DataFrame based on values in some column in Pandas?,"I find the syntax of the previous answers to be redundant and difficult to remember. Pandas introduced the query() method in v0.13 and I much prefer it. For your question, you could do df.query('col == val')",
How can I select rows from a DataFrame based on values in some column in Pandas?,August 2019 updated answer,
How do you change the size of figure drawn with Matplotlib?,figure tells you the call signature:,
How do you change the size of figure drawn with Matplotlib?,"If you've already got the figure created, you can use figure.set_size_inches to adjust the figure size:",
How do you change the size of figure drawn with Matplotlib?,"There is also this workaround in case you want to change the size without using the figure environment. So in case you are using plt.plot() for example, you can set a tuple with width and height.",
How do you change the size of figure drawn with Matplotlib?,"Deprecation note:
  As per the official Matplotlib guide, usage of the pylab module is no longer recommended. Please consider using the matplotlib.pyplot module instead, as described by this other answer.",
How do you change the size of figure drawn with Matplotlib?,Please try a simple code as following:,
How can I raise an exception in Python so that it can later be caught via an except block?,Use the most specific Exception constructor that semantically fits your issue.,
How can I raise an exception in Python so that it can later be caught via an except block?,DON'T DO THIS. Raising a bare Exception is absolutely not the right thing to do; see Aaron Hall's excellent answer instead.,
How can I raise an exception in Python so that it can later be caught via an except block?,In Python3 there are 4 different syntaxes for rasing exceptions: ,
How can I raise an exception in Python so that it can later be caught via an except block?,"For the common case where you need to throw an exception in response to some unexpected conditions, and that you never intend to catch, but simply to fail fast to enable you to debug from there if it ever happens — the most logical one seems to be AssertionError:",
How can I raise an exception in Python so that it can later be caught via an except block?,"Read the existing answers first, this is just an addendum.",
How can I output colored text to the terminal in Python?,"This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some Python code from the Blender build scripts:",
How can I output colored text to the terminal in Python?,There is also the Python termcolor module. Usage is pretty simple:,
How can I output colored text to the terminal in Python?,The answer is Colorama for all cross-platform coloring in Python.,
How can I output colored text to the terminal in Python?,"Print a string that starts a color/style, then the string, and then end the color/style change with '\x1b[0m':",
How can I output colored text to the terminal in Python?,Define a string that starts a color and a string that ends the color. Then print your text with the start string at the front and the end string at the end.,
I set an environment variable that I want to access in my Python application. How do I get its value?,Environment variables are accessed through os.environ,
I set an environment variable that I want to access in my Python application. How do I get its value?,To check if the key exists (returns True or False),
I set an environment variable that I want to access in my Python application. How do I get its value?,"The original question (first part) was ""how to check environment variables in Python."" ",
I set an environment variable that I want to access in my Python application. How do I get its value?,Actually it can be done this way:,
I set an environment variable that I want to access in my Python application. How do I get its value?,You can access the environment variables using,
"In Python, what commands can I use to find:","To get the full path to the directory a Python file is contained in, write this in that file:",
"In Python, what commands can I use to find:",Current working directory:  os.getcwd(),
"In Python, what commands can I use to find:",You may find this useful as a reference:,
"In Python, what commands can I use to find:","The pathlib module, introduced in Python 3.4 (PEP 428 — The pathlib module — object-oriented filesystem paths), makes the path-related experience much much better.",
"In Python, what commands can I use to find:",To get the current directory full path,
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:",in is the intended way to test for the existence of a key in a dict.,
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:",You don't have to call keys:,
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:","You can test for the presence of a key in a dictionary, using the in keyword:",
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:",You can shorten your code to this:,
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:",For additional information on speed execution of the accepted answer's proposed methods (10 million loops):,
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Node.js, Haskell, Perl, Go—almost every other contemporary language with a majority open-source community. Thank you, Python.",
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"-- Outdated -- use distribute, not setuptools as described here. --
-- Outdated #2 -- use setuptools as distribute is deprecated.",
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,2014 UPDATE:,
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,2016+ Update: ,
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"Python 3.4, which  was released in March 2014, comes with pip included:
http://docs.python.org/3.4/whatsnew/3.4.html
So, since the release of Python 3.4, the up-to-date way to install pip on Windows is to just install Python.",
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","The Python 3 range() object doesn't produce numbers immediately; it is a smart sequence object that produces numbers on demand. All it contains is your start, stop and step values, then as you iterate over the object the next integer is calculated each iteration.",
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","The fundamental misunderstanding here is in thinking that range is a generator. It's not. In fact, it's not any kind of iterator.",
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","Use the source, Luke!",
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","To add to Martijn’s answer, this is the relevant part of the source (in C, as the range object is written in native code):",
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","If you're wondering why this optimization was added to range.__contains__, and why it wasn't added to xrange.__contains__ in 2.7:",
"In Python, how do you get the last element of a list?",some_list[-1] is the shortest and most Pythonic.,
"In Python, how do you get the last element of a list?","If your str() or list() objects might end up being empty as so: astr = '' or alist = [], then you might want to use alist[-1:] instead of alist[-1] for object ""sameness"".",
"In Python, how do you get the last element of a list?",You can also do:,
"In Python, how do you get the last element of a list?",The simplest way to display last element in python is,
"In Python, how do you get the last element of a list?","To just get the last element, ",
"When deleting a key from a dictionary, I use:","To delete a key regardless of whether it is in the dictionary, use the two-argument form of dict.pop():",
"When deleting a key from a dictionary, I use:","Specifically to answer ""is there a one line way of doing this?""",
"When deleting a key from a dictionary, I use:","It took me some time to figure out what exactly my_dict.pop(""key"", None) is doing. So I'll add this as an answer to save others googling time:",
"When deleting a key from a dictionary, I use:",del my_dict[key] is slightly faster than my_dict.pop(key) for removing a key from a dictionary when the key exists,
"When deleting a key from a dictionary, I use:","If you need to remove a lot of keys from a dictionary in one line of code, I think using map() is quite succinct and Pythonic readable:",
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ",Use .lower() - For example:,
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ","Is there any way to convert an entire user inputted string from uppercase, or even part uppercase to lowercase?",
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ","With Python 2, this doesn't work for non-English words in UTF-8. In this case decode('utf-8') can help:",
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ","Also, you can overwrite some variables:",
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ",You can use the built-in string method lower to do that,
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,"Variables declared inside the class definition, but not inside a method are class or static variables:",
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,"@Blair Conrad said static variables declared inside the class definition, but not inside a method are class or ""static"" variables:",
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,"As the other answers have noted, static and class methods are easily accomplished using the built-in decorators:",
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,You can also add class variables to classes on the fly,
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,Personally I would use a classmethod whenever I needed a static method. Mainly because I get the class as an argument.,
I'd like to do it in Python. What I'd like to do in this example in C:,"In Python 3, you can use the sep= and end= parameters of the print function:",
I'd like to do it in Python. What I'd like to do in this example in C:,"For Python 2 and earlier, it should be as simple as described in Re: How does one print without a CR? by Guido van Rossum (paraphrased):",
I'd like to do it in Python. What I'd like to do in this example in C:,"Note: The title of this question used to be something like ""How to printf in Python""",
I'd like to do it in Python. What I'd like to do in this example in C:,Use the Python 3-style print function for Python 2.6+ (it will also break any existing keyworded print statements in the same file).,
I'd like to do it in Python. What I'd like to do in this example in C:,How to print on the same line:,
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?",Assuming module foo with method bar:,
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?",or,
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?","Patrick's solution is probably the cleanest.
If you need to dynamically pick up the module as well, you can import it like:",
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?","Just a simple contribution. If the class that we need to instance is in the same file, we can use something like this:",
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?","Given a string, with a complete python path to a function, this is how I went about getting the result of said function:",
Consider the following:,The len() function can be used with several different types in Python - both built-in types and library types. For example:,
Consider the following:,"To find the size of a list, use the builtin function, len:",
Consider the following:,"While this may not be useful due to the fact that it'd make a lot more sense as being ""out of the box"" functionality, a fairly simple hack would be to build a class with a length property:",
Consider the following:,"Besides len you can also use operator.length_hint (requires Python 3.4+). For a normal list both are equivalent, but length_hint makes it possible to get the length of a list-iterator, which could be useful in certain circumstances:",
Consider the following:,"And for completeness (primarily educational), it is possible without using the len() function. I would not condone this as a good option DO NOT PROGRAM LIKE THIS IN PYTHON, but it serves a purpose for learning algorithms.",
Assume I have the following list:,Use random.choice():,
Assume I have the following list:,"If you want to randomly select more than one item from a list, or select an item from a set, I'd recommend using random.sample instead.",
Assume I have the following list:,"If you also need the index, use random.randrange",
Assume I have the following list:,"As of Python 3.6 you can use the secrets module, which is preferable to the random module for cryptography or security uses.",
Assume I have the following list:,I propose a script for removing randomly picked up items off a list until it is empty:,
Is there a way in Python to determine if an object has some attribute?  For example:,Try hasattr():,
Is there a way in Python to determine if an object has some attribute?  For example:,"As Jarret Hardie answered, hasattr will do the trick.  I would like to add, though, that many in the Python community recommend a strategy of ""easier to ask for forgiveness than permission"" (EAFP) rather than ""look before you leap"" (LBYL).  See these references:",
Is there a way in Python to determine if an object has some attribute?  For example:,"You can use hasattr() or catch AttributeError, but if you really just want the value of the attribute with a default if it isn't there, the best option is just to use getattr():",
Is there a way in Python to determine if an object has some attribute?  For example:,"I think what you are looking for is hasattr. However, I'd recommend something like this if you want to detect python properties-",
Is there a way in Python to determine if an object has some attribute?  For example:,"According to pydoc, hasattr(obj, prop) simply calls getattr(obj, prop) and catches exceptions. So, it is just as valid to wrap the attribute access with a try statement and catch AttributeError as it is to use hasattr() beforehand.",
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,"Usually, activating a virtualenv gives you a shell function named:",
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,Use:,
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,"I defined an alias, workoff, as the opposite of workon:",
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,To activate a Python virtual environment:,
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,To activate a Python virtual environment:,
We are working on an S60 version and this platform has a nice Python API..,One way is to use Kivy:,
We are working on an S60 version and this platform has a nice Python API..,"There is also the new Android Scripting Environment (ASE/SL4A) project. It looks awesome, and it has some integration with native Android components. ",
We are working on an S60 version and this platform has a nice Python API..,Yes! : Android Scripting Environment,
We are working on an S60 version and this platform has a nice Python API..,Pygame is a 2D game engine for Python (on desktop) that is popular with new programmers. The Pygame Subset for Android describes itself as...,
