question,answer
How do I concatenate two lists in Python?,You can use the + operator to combine them:
How do I concatenate two lists in Python?,"Python >= 3.5 alternative: [*l1, *l2]"
"For example, if passed the following:",Using the implicit booleanness of the empty list is quite pythonic.
"For example, if passed the following:",The pythonic way to do it is from the PEP 8 style guide.
What's the difference between the list methods append() and extend()?,append appends object at the end.
What's the difference between the list methods append() and extend()?,"append adds an element to a list, and extend concatenates the first list with another list (or another iterable, not necessarily a list.)"
What is __init__.py for in a Python source directory?,"It used to be a required part of a package (old, pre-3.3 ""regular package"", not newer 3.3+ ""namespace package"")."
What is __init__.py for in a Python source directory?,"Files named __init__.py are used to mark directories on disk as Python package directories.
If you have the files"
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,"Actually, this is not a design flaw, and it is not because of internals or performance.
It comes simply from the fact that functions in Python are first-class objects, and not only a piece of code."
Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:,Suppose you have the following code
I would like to know how to put a time delay in a Python script.,Here is another example where something is run approximately once a minute:
I would like to know how to put a time delay in a Python script.,You can use the sleep() function in the time module. It can take a float argument for sub-second resolution.
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'",Arguments are passed by assignment. The rationale behind this is twofold:
"The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'","The problem comes from a misunderstanding of what variables are in Python. If you're used to most traditional languages, you have a mental model of what happens in the following sequence:"
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","With new_list = my_list, you don't actually have two lists. The assignment just copies the reference to the list, not the actual list, so both new_list and my_list refer to the same list after the assignment."
"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?","Felix already provided an excellent answer, but I thought I'd do a speed comparison of the various methods:"
How can I make two decorators in Python that would do the following?,"If you are not into long explanations, see Paolo Bergantino’s answer."
How can I make two decorators in Python that would do the following?,Check out the documentation to see how decorators work. Here is what you asked for:
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ","super() lets you avoid referring to the base class explicitly, which can be nice. But the main advantage comes with multiple inheritance, where all sorts of fun stuff can happen. See the standard docs on super if you haven't already."
"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. ",The reason we use super is so that child classes that may be using cooperative multiple inheritance will call the correct next parent class function in the Method Resolution Order (MRO).
"In the following method definitions, what does the * and ** do for param2?",The *args and **kwargs is a common idiom to allow arbitrary number of arguments to functions as described in the section more on defining functions in the Python documentation.
"In the following method definitions, what does the * and ** do for param2?","It's also worth noting that you can use * and ** when calling functions as well. This is a shortcut that allows you to pass multiple arguments to a function directly using either a list/tuple or a dictionary. For example, if you have the following function:"
How can I select rows from a DataFrame based on values in some column in Pandas?,"To select rows whose column value equals a scalar, some_value, use ==:"
How can I select rows from a DataFrame based on values in some column in Pandas?,There are several ways to select rows from a Pandas dataframe:
How do you change the size of figure drawn with Matplotlib?,figure tells you the call signature:
How do you change the size of figure drawn with Matplotlib?,"If you've already got the figure created, you can use figure.set_size_inches to adjust the figure size:"
How can I raise an exception in Python so that it can later be caught via an except block?,Use the most specific Exception constructor that semantically fits your issue.
How can I raise an exception in Python so that it can later be caught via an except block?,DON'T DO THIS. Raising a bare Exception is absolutely not the right thing to do; see Aaron Hall's excellent answer instead.
How can I output colored text to the terminal in Python?,"This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some Python code from the Blender build scripts:"
How can I output colored text to the terminal in Python?,There is also the Python termcolor module. Usage is pretty simple:
I set an environment variable that I want to access in my Python application. How do I get its value?,Environment variables are accessed through os.environ
I set an environment variable that I want to access in my Python application. How do I get its value?,To check if the key exists (returns True or False)
"In Python, what commands can I use to find:","To get the full path to the directory a Python file is contained in, write this in that file:"
"In Python, what commands can I use to find:",Current working directory:  os.getcwd()
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:",in is the intended way to test for the existence of a key in a dict.
"I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:",You don't have to call keys:
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Node.js, Haskell, Perl, Go—almost every other contemporary language with a majority open-source community. Thank you, Python."
pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,"-- Outdated -- use distribute, not setuptools as described here. --
-- Outdated #2 -- use setuptools as distribute is deprecated."
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","The Python 3 range() object doesn't produce numbers immediately; it is a smart sequence object that produces numbers on demand. All it contains is your start, stop and step values, then as you iterate over the object the next integer is calculated each iteration."
"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.","The fundamental misunderstanding here is in thinking that range is a generator. It's not. In fact, it's not any kind of iterator."
"In Python, how do you get the last element of a list?",some_list[-1] is the shortest and most Pythonic.
"In Python, how do you get the last element of a list?","If your str() or list() objects might end up being empty as so: astr = '' or alist = [], then you might want to use alist[-1:] instead of alist[-1] for object ""sameness""."
"When deleting a key from a dictionary, I use:","To delete a key regardless of whether it is in the dictionary, use the two-argument form of dict.pop():"
"When deleting a key from a dictionary, I use:","Specifically to answer ""is there a one line way of doing this?"""
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ",Use .lower() - For example:
"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? ","Is there any way to convert an entire user inputted string from uppercase, or even part uppercase to lowercase?"
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,"Variables declared inside the class definition, but not inside a method are class or static variables:"
Is it possible to have static class variables or methods in Python? What syntax is required to do this?,"@Blair Conrad said static variables declared inside the class definition, but not inside a method are class or ""static"" variables:"
I'd like to do it in Python. What I'd like to do in this example in C:,"In Python 3, you can use the sep= and end= parameters of the print function:"
I'd like to do it in Python. What I'd like to do in this example in C:,"For Python 2 and earlier, it should be as simple as described in Re: How does one print without a CR? by Guido van Rossum (paraphrased):"
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?",Assuming module foo with method bar:
"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar"". What is the best way to call foo.bar()?",or
Consider the following:,The len() function can be used with several different types in Python - both built-in types and library types. For example:
Consider the following:,"To find the size of a list, use the builtin function, len:"
Assume I have the following list:,Use random.choice():
Assume I have the following list:,"If you want to randomly select more than one item from a list, or select an item from a set, I'd recommend using random.sample instead."
Is there a way in Python to determine if an object has some attribute?  For example:,Try hasattr():
Is there a way in Python to determine if an object has some attribute?  For example:,"As Jarret Hardie answered, hasattr will do the trick.  I would like to add, though, that many in the Python community recommend a strategy of ""easier to ask for forgiveness than permission"" (EAFP) rather than ""look before you leap"" (LBYL).  See these references:"
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,"Usually, activating a virtualenv gives you a shell function named:"
I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command.,Use:
We are working on an S60 version and this platform has a nice Python API..,One way is to use Kivy:
We are working on an S60 version and this platform has a nice Python API..,"There is also the new Android Scripting Environment (ASE/SL4A) project. It looks awesome, and it has some integration with native Android components. "
I want a to be rounded to 13.95.,You are running into the old problem with floating point numbers that not all numbers can be represented exactly. The command line is just showing you the full floating point form from memory.
I want a to be rounded to 13.95.,"There are new format specifications, String Format Specification Mini-Language:"
"I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is rusty and I'm not yet an expert Pythonista, please tell me if I'm doing something wrong or if I'm misunderstanding something.","By default, cin is synchronized with stdio, which causes it to avoid any input buffering.  If you add this to the top of your main, you should see much better performance:"
"I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is rusty and I'm not yet an expert Pythonista, please tell me if I'm doing something wrong or if I'm misunderstanding something.","Just out of curiosity I've taken a look at what happens under the hood, and I've used dtruss/strace on each test."
I have the following folder structure.,"Note: This answer was intended for a very specific question. For most programmers coming here from a search engine, this is not the answer you are looking for. Typically you would structure your files into packages (see other answers) instead of modifying the search path."
I have the following folder structure.,Nothing wrong with:
gives me : Key Error: Hello\\,You need to double the {{ and }}:
gives me : Key Error: Hello\\,Python 3.6+ (2017)
"Is there a simple way to determine if a variable is a list, dictionary, or something else? I am getting an object back that may be either type and I need to be able to tell the difference.","There are two built-in functions that help you identify the type of an object. You can use type()  if you need the exact type of an object, and isinstance() to check an object’s type against something. Usually, you want to use isinstance() most of the times since it is very robust and also supports type inheritance."
"Is there a simple way to determine if a variable is a list, dictionary, or something else? I am getting an object back that may be either type and I need to be able to tell the difference.",You can do that using type():
This has always confused me. It seems like this would be nicer:,"It's because any iterable can be joined (e.g, list, tuple, dict, set), but its contents and the ""joiner"" must be strings."
This has always confused me. It seems like this would be nicer:,"This was discussed in the String methods... finally thread in the Python-Dev achive, and was accepted by Guido. This thread began in Jun 1999, and str.join was included in Python 1.6 which was released in Sep 2000 (and supported Unicode). Python 2.0 (supported str methods including join) was released in Oct 2000."
How do I remove an element from a list by index in Python?,Use del and specify the index of the element you want to delete:
How do I remove an element from a list by index in Python?,You probably want pop:
"Is it possible to have static methods in Python which I could call without initializing a class, like:","Yep, using the staticmethod decorator"
"Is it possible to have static methods in Python which I could call without initializing a class, like:","I think that Steven is actually right. To answer the original question, then, in order to set up a class method, simply assume that the first argument is not going to be a calling instance, and then make sure that you only call the method from the class."
How do you append to the file instead of overwriting it? Is there a special function that appends to the file?,"This can be achieved by setting the mode in open() to ""a"" (append) instead of ""w"" (write). See the documentation op open() for all available modes."
How do you append to the file instead of overwriting it? Is there a special function that appends to the file?,"You need to open the file in append mode, by setting ""a"" or ""ab"" as the mode. See open()."
When deleting a column in a DataFrame I use:,The best way to do this in Pandas is to use drop:
When deleting a column in a DataFrame I use:,"As you've guessed, the right syntax is "
"What is a Pythonic way to pad a numeric string with zeroes to the left, i.e. so the numeric string has a specific length?",Strings:
"What is a Pythonic way to pad a numeric string with zeroes to the left, i.e. so the numeric string has a specific length?",Just use the rjust method of the string object.
Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. ,"Though classmethod and staticmethod are quite similar, there's a slight difference in usage for both entities: classmethod must have a reference to a class object as the first parameter, whereas staticmethod can have no parameters at all."
Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. ,Rostyslav Dzinko's answer is very appropriate. I thought I could highlight one other reason you should choose @classmethod over @staticmethod when you are creating an additional constructor.
How do I find out a name of class that created an instance of an object in Python if the function I am doing this from is the base class of which the class of the instance has been derived?,"Have you tried the __name__ attribute of the class? ie type(x).__name__ will give you the name of the class, which I think is what you want."
How do I find out a name of class that created an instance of an object in Python if the function I am doing this from is the base class of which the class of the instance has been derived?,Do you want the name of the class as a string?
"What I want is to start counting time somewhere in my code and then get the passed time, to measure the time it took to execute few function. I think I'm using the timeit module wrong, but the docs are just confusing for me.","If you just want to measure the elapsed wall-clock time between two points, you could use  time.time():"
"What I want is to start counting time somewhere in my code and then get the passed time, to measure the time it took to execute few function. I think I'm using the timeit module wrong, but the docs are just confusing for me.",Use timeit.default_timer instead of timeit.timeit. The former provides the best clock available on your platform and version of Python automatically:
"I have a very long query. I would like to split it in several lines in Python. A way to do it in JavaScript would be using several sentences and joining them with a + operator (I know, maybe it's not the most efficient way to do it, but I'm not really concerned about performance in this stage, just code readability). Example:","Are you talking about multi-line strings? Easy, use triple quotes to start and end them."
"I have a very long query. I would like to split it in several lines in Python. A way to do it in JavaScript would be using several sentences and joining them with a + operator (I know, maybe it's not the most efficient way to do it, but I'm not really concerned about performance in this stage, just code readability). Example:","If you don't want a multiline string, but just have a long single line string, you can use parentheses. Just make sure you don't include commas between the string segments (then it will be a tuple)."
How can I generate random integers between 0 and 9 (inclusive) in Python?,Try:
How can I generate random integers between 0 and 9 (inclusive) in Python?,Return a random integer N such that a <= N <= b.
"I am trying to install version 1.2.2 of MySQL_python, using a fresh virtualenv created with the --no-site-packages option. The current version shown in PyPi is 1.2.3. Is there a way to install the older version? I have tried:",TL;DR:
"I am trying to install version 1.2.2 of MySQL_python, using a fresh virtualenv created with the --no-site-packages option. The current version shown in PyPi is 1.2.3. Is there a way to install the older version? I have tried:",You can even use a version range with pip install command. Something like this:
I spent most of the day yesterday searching for a clear answer for installing pip (package manager for Python). I can't find a good solution.,pip's documentation lists the supported mechanisms to install it: https://pip.pypa.io/en/stable/installation/#supported-methods
I spent most of the day yesterday searching for a clear answer for installing pip (package manager for Python). I can't find a good solution.,⚡️ TL;DR — One-line solution.
"Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that seem to match the regex (py)?(v|virtual|pip)?env?","This is my personal recommendation for beginners: start by learning virtualenv and pip, tools which work with both Python 2 and 3 and in a variety of situations, and pick up other tools once you start needing them."
"Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that seem to match the regex (py)?(v|virtual|pip)?env?",I would just avoid the use of virtualenv after Python3.3+ and instead use the standard shipped library venv. To create a new virtual environment you would type:
"I'm trying to do some of the code golf challenges, but they all require the input to be taken from stdin. How do I get that in Python?",You could use the fileinput module:
"I'm trying to do some of the code golf challenges, but they all require the input to be taken from stdin. How do I get that in Python?",There's a few ways to do it.
There are several ways to write to stderr:,"I found this to be the only one short, flexible, portable and readable:"
There are several ways to write to stderr:,"Is my choice, just more readable and saying exactly what you intend to do and portable across versions.  "
"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both?","Names, in a class, with a leading underscore are simply to indicate to other programmers that the attribute or method is intended to be private.  However, nothing special is done with the name itself."
"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both?","__foo__: this is just a convention, a way for the Python system to use names that won't conflict with user names."
"What's the proper way to declare custom exception classes in modern Python? My primary goal is to follow whatever standard other exception classes have, so that (for instance) any extra string I include in the exception is printed out by whatever tool caught the exception.","Maybe I missed the question, but why not:"
"What's the proper way to declare custom exception classes in modern Python? My primary goal is to follow whatever standard other exception classes have, so that (for instance) any extra string I include in the exception is printed out by whatever tool caught the exception.","With modern Python Exceptions, you don't need to abuse .message, or override .__str__() or .__repr__() or any of it. If all you want is an informative message when your exception is raised, do this:"
What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type?,"To check if o is an instance of str or any subclass of str, use isinstance (this would be the ""canonical"" way):"
What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type?,The most Pythonic way to check the type of an object is... not to check it.
I am trying to build a shared library using a C extension file but first I have to generate the output file using the command below:,Looks like you haven't properly installed the header files and static libraries for python dev.  Use your package manager to install them system-wide.
I am trying to build a shared library using a C extension file but first I have to generate the output file using the command below:,"On Ubuntu, I was running Python 3 and I had to install "
I have a JSON file that is a mess that I want to prettyprint. What's the easiest way to do this in Python?,"The json module already implements some basic pretty printing in the dump and dumps functions, with the indent parameter that specifies how many spaces to indent by:"
I have a JSON file that is a mess that I want to prettyprint. What's the easiest way to do this in Python?,You can do this on the command line:
Is there any reason for a class declaration to inherit from object?,"In Python 3, apart from compatibility between Python 2 and 3, no reason. In Python 2, many reasons. "
Is there any reason for a class declaration to inherit from object?,Python 3
"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to __main__.","Python includes a profiler called cProfile. It not only gives the total running time, but also times each function separately, and tells you how many times each function was called, making it easy to determine where you should make optimizations."
"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., adding timing code to __main__.","A while ago I made pycallgraph which generates a visualisation from your Python code. Edit: I've updated the example to work with 3.3, the latest release as of this writing."
"I'm trying to get the number of rows of dataframe df with Pandas, and here is my code.","For a dataframe df, one can use any of the following:"
"I'm trying to get the number of rows of dataframe df with Pandas, and here is my code.",Suppose df is your dataframe then:
How can I load a Python module given its full path?,For Python 3.5+ use:
How can I load a Python module given its full path?,The advantage of adding a path to sys.path (over using imp) is that it simplifies things when importing more than one module from a single package.  For example:
So I have difficulty with the concept of *args and **kwargs.,The syntax is the * and **.  The names *args and **kwargs are only by convention but there's no hard requirement to use them.
So I have difficulty with the concept of *args and **kwargs.,One place where the use of *args and **kwargs is quite useful is for subclassing.
I like the Python list comprehension syntax.,Use a dict comprehension (Python 2.7 and later):
I like the Python list comprehension syntax.,"In Python 3 and Python 2.7+, dictionary comprehensions look like the below:"
How do I force Python's print function to output to the screen?,"In Python 3, print can take an optional flush argument:"
How do I force Python's print function to output to the screen?,"Running python -h, I see a command line option:"
What are the differences between these two code snippets?,"To summarize the contents of other (already good!) answers, isinstance caters for inheritance (an instance of a derived class is an instance of a base class, too), while checking for equality of type does not (it demands identity of types and rejects instances of subtypes, AKA subclasses)."
What are the differences between these two code snippets?,Here's an example where isinstance achieves something that type cannot:
I'm having problems dealing with unicode characters from text fetched from different web pages (on different sites). I am using BeautifulSoup. ,You need to read the Python Unicode HOWTO. This error is the very first example.
I'm having problems dealing with unicode characters from text fetched from different web pages (on different sites). I am using BeautifulSoup. ,This is a classic python unicode pain point! Consider the following:
Python 2.6 introduced the str.format() method with a slightly different syntax from the existing % operator. Which is better and for what situations?,To answer your first question... .format just seems more sophisticated in many ways. An annoying thing about % is also how it can either take a variable or a tuple. You'd think the following would always work:
Python 2.6 introduced the str.format() method with a slightly different syntax from the existing % operator. Which is better and for what situations?,"Something that the modulo operator ( % ) can't do, afaik:"
What are the lesser-known but useful features of the Python programming language?,"In case you're thinking it's doing 1 < x, which comes out as True, and then comparing True < 10, which is also True, then no, that's really not what happens (see the last example.) It's really translating into 1 < x and x < 10, and x < 10 and 10 < x * 10 and x*10 < 100, but with less typing and each term is only evaluated once."
What are the lesser-known but useful features of the Python programming language?,Get the python regex parse tree to debug your regex.
How can I check what version of the Python Interpreter is interpreting my script?,This information is available in the sys.version string in the sys module:
How can I check what version of the Python Interpreter is interpreting my script?,From the command line (note the capital 'V'):
How do I refer to the null object in Python?,"In Python, the 'null' object is the singleton None."
How do I refer to the null object in Python?,"There's no null in Python; instead there's None. As stated already, the most accurate way to test that something has been given None as a value is to use the is identity operator, which tests that two variables refer to the same object."
How can I do the following in Python?,You can totally do that. It's just an ordering issue:
How can I do the following in Python?,"The specific problem has already been solved in previous answers, so I will address the general idea of using conditionals inside list comprehensions."
"I have been using Python more and more, and I keep seeing the variable __all__ set in different __init__.py files.  Can someone explain what this does?","Linked to, but not explicitly mentioned here, is exactly when __all__ is used. It is a list of strings defining what symbols in a module will be exported when from <module> import * is used on the module."
"I have been using Python more and more, and I keep seeing the variable __all__ set in different __init__.py files.  Can someone explain what this does?","It's a list of public objects of that module, as interpreted by import *. It overrides the default of hiding everything that begins with an underscore."
"float('nan') results in Nan (not a number). But how do I check for it? Should be very easy, but I cannot find it.",math.isnan(x)
"float('nan') results in Nan (not a number). But how do I check for it? Should be very easy, but I cannot find it.",The usual way to test for a NaN is to see if it's equal to itself:
Can anyone please explain what setup.py is and how it can be configured or used?,"setup.py is a python file, the presence of which is an indication that the module/package you are about to install has likely been packaged and distributed with Distutils, which is the standard for distributing Python Modules."
Can anyone please explain what setup.py is and how it can be configured or used?,It helps to install a python package foo on your machine (can also be in virtualenv) so that you can import the package foo from other projects and also from [I]Python prompts.
"I have a series of 20 plots (not subplots) to be made in a single figure.  I want the legend to be outside of the box.  At the same time, I do not want to change the axes, as the size of the figure gets reduced.  Kindly help me for the following queries:","There are a number of ways to do what you want.  To add to what @inalis and @Navi already said, you can use the bbox_to_anchor keyword argument to place the legend partially outside the axes and/or decrease the font size."
"I have a series of 20 plots (not subplots) to be made in a single figure.  I want the legend to be outside of the box.  At the same time, I do not want to change the axes, as the size of the figure gets reduced.  Kindly help me for the following queries:","A legend is positioned inside the bounding box of the axes using the loc argument to plt.legend.
E.g. loc=""upper right"" places the legend in the upper right corner of the bounding box, which by default extents from (0,0) to (1,1) in axes coordinates (or in bounding box notation (x0,y0, width, height)=(0,0,1,1))."
"I have recently started studying Python, but I couldn't find how to implement multi-line comments. Most languages have block comment symbols like","You can use triple-quoted strings. When they're not a docstring (the first thing in a class/function/module), they are ignored."
"I have recently started studying Python, but I couldn't find how to implement multi-line comments. Most languages have block comment symbols like","Python does have a multiline string/comment syntax in the sense that unless used as docstrings, multiline strings generate no bytecode -- just like #-prepended comments. In effect, it acts exactly like a comment."
How do I remove leading and trailing whitespace from a string in Python?,"Just one space or all consecutive spaces? If the second, then strings already have a .strip() method:"
How do I remove leading and trailing whitespace from a string in Python?,As pointed out in answers above
I have the following DataFrame (df):,"One easy way would be to reassign the dataframe with a list of the columns, rearranged as needed. "
I have the following DataFrame (df):,You could also do something like this:
Is there a method like isiterable? The only solution I have found so far is to call,"Checking for __iter__ works on sequence types, but it would fail on e.g. strings in Python 2. I would like to know the right answer too, until then, here is one possibility (which would work on strings, too):"
Is there a method like isiterable? The only solution I have found so far is to call,Use the Abstract Base Classes. They need at least Python 2.6 and work only for new-style classes.
"There appear to be two different ways to convert a string to bytes, as seen in the answers to TypeError: 'str' does not support the buffer interface","If you look at the docs for bytes, it points you to bytearray:"
"There appear to be two different ways to convert a string to bytes, as seen in the answers to TypeError: 'str' does not support the buffer interface",It's easier than it is thought:
I have a long line of code that I want to break up among multiple lines. What do I use and what is the syntax?,What is the line?  You can just have arguments on the next line without any problems:
I have a long line of code that I want to break up among multiple lines. What do I use and what is the syntax?,From PEP 8 -- Style Guide for Python Code:
"I've got a Python program where two variables are set to the value 'public'. In a conditional expression I have the comparison var1 is var2 which fails, but if I change it to var1 == var2 it returns True.","is is identity testing, == is equality testing. what happens in your code would be emulated in the interpreter like this:"
"I've got a Python program where two variables are set to the value 'public'. In a conditional expression I have the comparison var1 is var2 which fails, but if I change it to var1 == var2 it returns True.","Other answers here are correct: is is used for identity comparison, while == is used for equality comparison. Since what you care about is equality (the two strings should contain the same characters), in this case the is operator is simply wrong and you should be using == instead."
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,"Use __new__ when you need to control
the creation of a new instance."
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,"__new__ is static class method, while __init__ is instance method. 
__new__ has to create the instance first, so __init__ can initialize it. Note that __init__ takes self as parameter. Until you create instance there is no self."
How to set the current working directory in Python?,Try os.chdir
How to set the current working directory in Python?,Perhaps this is what you are looking for:
After you train a model in Tensorflow: ,I am improving my answer to add more details for saving and restoring models. 
After you train a model in Tensorflow: ,"In (and after) TensorFlow version 0.11.0RC1, you can save and restore your model directly by calling tf.train.export_meta_graph and tf.train.import_meta_graph according to https://www.tensorflow.org/programmers_guide/meta_graph."
"What is the python keyword ""with"" used for?","In python the with keyword is used when working with unmanaged resources (like file streams). It is similar to the using statement in VB.NET and C#. It allows you to ensure that a resource is ""cleaned up"" when the code that uses it finishes running, even if exceptions are thrown. It provides 'syntactic sugar' for try/finally blocks."
"What is the python keyword ""with"" used for?",Explanation from the Pershing on Programming blog:
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).",The -s switch disables per-test capturing (only if a test fails).
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).","pytest captures the stdout from individual tests and displays them only on certain conditions, along with the summary of the tests it prints by default."
I understand how this construct works:,A common construct is to run a loop until something is found and then to break out of the loop. The problem is that if I break out of the loop or the loop ends I need to determine which case happened. One method is to create a flag or store variable that will let me do a second test to see how the loop was exited.
I understand how this construct works:,"It's a strange construct even to seasoned Python coders. When used in conjunction with for-loops it basically means ""find some item in the iterable, else if none was found do ..."". As in:"
